"party","C"
"trängsel","1.0"
"29","1.0"
"göras","11.0"
"finné","2.0"
"främst","4.0"
"jublat","1.0"
"mig","41.0"
"skola","2.0"
"minskar?","1.0"
"studenter","1.0"
"mil","10.0"
"medfinansiera","2.0"
"utsatt","2.0"
"äta","1.0"
"min","50.0"
"signalera","2.0"
"styleref","44.0"
"industri","5.0"
"används","3.0"
"talmannen","1.0"
"skogsbruk","1.0"
"30","6.0"
"31","2.0"
"efter","25.0"
"32","1.0"
"ledare","1.0"
"västra","14.0"
"utmaning","1.0"
"35","1.0"
"etableringsreformen","1.0"
"delaktig","1.0"
"stat","3.0"
"36","1.0"
"37","1.0"
"kompensera","1.0"
"strategier","1.0"
"småföretagare","2.0"
"inte","467.0"
"polis","3.0"
"förnyelsearbete","1.0"
"tummarna","2.0"
"dannebacka","1.0"
"vargrevir","2.0"
