"party","MP"
"frånträda","1.0"
"cop","1.0"
"flicka","1.0"
"händelse","2.0"
"lidande","3.0"
"fixering","4.0"
"färgtillverkarna","1.0"
"likartat","1.0"
"hänger","9.0"
"förenkling","1.0"
"jämte","1.0"
"sammantaget","4.0"
"sammantagen","1.0"
"privatbilister","1.0"
"grundat","1.0"
"pyhäjoki","6.0"
"agerar","1.0"
"sortera","1.0"
"tre","24.0"
"agerat","3.0"
"arbetar","28.0"
"arbetat","3.0"
"reachförordningen","1.0"
"arbetas","1.0"
"nyttigt","1.0"
"industriland","1.0"
"tro","5.0"
"200","2.0"
"ekonomin","11.0"
"uttalade","1.0"
"jämställdhetsbrister","1.0"
"hyresgästen","1.0"
"trygghet","10.0"
"initialt","2.0"
"handlade","11.0"
"löpt","1.0"
"hyresgäster","1.0"
"tendenser","1.0"
"kortaste","1.0"
"ränta","1.0"
"avverkningar","1.0"
"sexuella","4.0"
"bakgrunden","9.0"
"utväxling","1.0"
"respons","1.0"
"brännved","1.0"
"väsentliga","3.0"
"skadade","1.0"
"remissinstans","1.0"
"odlad","1.0"
"amorteringsbeteende","1.0"
"utgick","1.0"
"miljöpolitik","4.0"
"bedömningarna","1.0"
"totala","4.0"
"sexuellt","8.0"
"bilden","7.0"
"löst","4.0"
"ovanpå","1.0"
"intäktsbortfall","1.0"
"väsentligt","3.0"
"ledningar","1.0"
"ange","3.0"
"skolväsendet","2.0"
"lösa","17.0"
"luften","3.0"
"underbyggt","1.0"
"nämligen","63.0"
"tredje","8.0"
"friggebodar","2.0"
"analys","19.0"
"uppemot","1.0"
"ompröva","2.0"
"totalt","3.0"
"patenträtterna","1.0"
"bemärkelsen","2.0"
"stöttat","2.0"
"nödkylning","1.0"
"stöttar","1.0"
"nästan","11.0"
"näringslivsaktörer","1.0"
"capita","1.0"
"diskussionerna","4.0"
"rådande","1.0"
"japan","3.0"
"rättsstöd","1.0"
"avveckla","1.0"
"principfrågan","1.0"
"tum","1.0"
"tillåtelse","1.0"
"angår","1.0"
"handlagt","2.0"
"230","2.0"
"tur","6.0"
"uttrycka","3.0"
"gången","11.0"
"låta","8.0"
"jorden","2.0"
"bostäder","65.0"
"näringslivsföretag","1.0"
"återfanns","1.0"
"gånger","21.0"
"ideliga","1.0"
"samråd","11.0"
"ambitionsnivå","1.0"
"237","1.0"
"välbehövlig","2.0"
"penning","1.0"
"inbyggt","1.0"
"landsbygd","8.0"
"välkomnade","1.0"
"efterlyser","1.0"
"element","1.0"
"uppmärksamma","2.0"
"byggts","2.0"
"nödvändigt","4.0"
"återgå","2.0"
"megahertz","1.0"
"avloppsanläggningar","1.0"
"släppas","2.0"
"miljöproblemen","1.0"
"begår","2.0"
"anvisa","1.0"
"begås","2.0"
"stereotypa","1.0"
"trä","1.0"
"tiden;","1.0"
"inlägget:","1.0"
"240","1.0"
"motsvarande","7.0"
"utredningens","3.0"
"nödvändiga","4.0"
"känsligaste","1.0"
"tioårsperiod","1.0"
"rimligare","2.0"
"glatt","1.0"
"nyligen","13.0"
"avpolitisera","1.0"
"skyldighet","4.0"
"syften","6.0"
"250","1.0"
"bransch","3.0"
"moment","2.0"
"statsministerns","1.0"
"synsättet","2.0"
"tillsyn","11.0"
"låtit","3.0"
"uttrycks","1.0"
"dalälvens","1.0"
"flyg","5.0"
"skulder","1.0"
"befolkningar","2.0"
"bundet","1.0"
"samtalat","1.0"
"remitterat","1.0"
"talmännen","1.0"
"remitterar","1.0"
"tillsynsmyndigheten","1.0"
"bostadsföretagen","1.0"
"flyr","3.0"
"dagligen","1.0"
"fn:s","7.0"
"godkännande","3.0"
"syftet","12.0"
"fattat","6.0"
"avkrävs","1.0"
"fattas","4.0"
"kristna","1.0"
"berördes","1.0"
"fattar","3.0"
"lämnad","2.0"
"klimatkonferensen","3.0"
"ledningen","2.0"
"uttryckt","3.0"
"diskussionen","18.0"
"lämnas","2.0"
"lämnar","7.0"
"överraskning","1.0"
"veterligen","1.0"
"diskussioner","15.0"
"grannkommunen","1.0"
"lämnat","3.0"
"sammantagna","1.0"
"matproduktion","1.0"
"detaljerna","1.0"
"typ","28.0"
"ungdomar","3.0"
"270","1.0"
"anna","1.0"
"utfärdat","1.0"
"landshövdingarna","1.0"
"bekämpningsformer","1.0"
"överskådlig","2.0"
"budget","24.0"
"utvidgade","3.0"
"två","62.0"
"<em>godstrafik","1.0"
"totalundersökning","1.0"
"10 000","1.0"
"föreskriften","5.0"
"tolkar","1.0"
"föreskrifter","7.0"
"tolkas","4.0"
"bistånd","22.0"
"ofta","27.0"
"289","1.0"
"stenar","1.0"
"forskningsresurser","1.0"
"beroendet","1.0"
"ultimata","1.0"
"miljökonsekvensbeskrivning","1.0"
"pröva","12.0"
"rosenbad","1.0"
"önskemål","1.0"
"bevisar","1.0"
"preciseras","1.0"
"mobilisering","1.0"
"kutym","1.0"
"avvecklas","4.0"
"solkraft","1.0"
"äntligen","2.0"
"reviderades","3.0"
"290","5.0"
"affären","2.0"
"reseavdragen","1.0"
"regeringskansliet","30.0"
"house","1.0"
"halka","1.0"
"slarvig","1.0"
"<em>stärkt","1.0"
"religiös","2.0"
"stark","11.0"
"hyror","7.0"
"förfrågan","1.0"
"framtidsgeneration","1.0"
"många","182.0"
"effekterna","6.0"
"beaktas","3.0"
"beaktar","6.0"
"förbättring","1.0"
"likna","1.0"
"start","4.0"
"folket","11.0"
"klimatambitioner","1.0"
"preciserad","1.0"
"skyndsam","1.0"
"starta","5.0"
"fallen","2.0"
"analysera","5.0"
"jobberbjudande","1.0"
"signalerna","1.0"
"kvaliteten","9.0"
"växter","1.0"
"naturhistoriska","2.0"
"klimatinvesteringar","1.0"
"fallet","20.0"
"befolkningen","4.0"
"arbetsformer","1.0"
"världskriget","1.0"
"undra","2.0"
"faller","4.0"
"detaljerat","1.0"
"samspel","1.0"
"stockholm?","2.0"
"professionellt","2.0"
"pisa-provet","1.0"
"kraftigt","5.0"
"inlärning","1.0"
"elbilar","3.0"
"träffa","3.0"
"gångna","1.0"
"socialtjänst","1.0"
"rekryteringen","3.0"
"annat:","1.0"
"professionella","2.0"
"godaste","1.0"
"annars","11.0"
"delfinansieringen","2.0"
"personers","1.0"
"berömt","1.0"
"blott","2.0"
"myndighetens","8.0"
"kulturområdet","1.0"
"hälsobistånd","2.0"
"polariserad","1.0"
"miljöinvesteringar","1.0"
"66 000","1.0"
"telestyrelsen","7.0"
"kontexter","2.0"
"övergrepp","1.0"
"anpassningsfonden","1.0"
"kontexten","2.0"
"införa","19.0"
"miljonerna","2.0"
"såvitt","1.0"
"andreas","2.0"
"delaktighetsklyftorna","1.0"
"orkade","1.0"
"förstördes","3.0"
"införs","6.0"
"standarder","2.0"
"infört","4.0"
"ministerstyra","1.0"
"företags","1.0"
"ministerstyre","3.0"
"förmodar","2.0"
"megabit","5.0"
"tillkallar","1.0"
"diskussion","38.0"
"ägarnas","1.0"
"placeras","2.0"
"omställningsarbetet","1.0"
"strändernas","2.0"
"anta","3.0"
"varierande","1.0"
"fält","1.0"
"detaljerad","1.0"
"stockholms","13.0"
"hjälper","5.0"
"naturområde","1.0"
"styrning","3.0"
"knackar","1.0"
"underlaget","5.0"
"ojämn","1.0"
"förskollärarlegitimationen","1.0"
"otydlighet","2.0"
"konferenserna","1.0"
"underlagen","1.0"
"dag","144.0"
"likhet","2.0"
"missförstår","1.0"
"kursplanernas","2.0"
"missförstås","1.0"
"bibehålla","2.0"
"återge","2.0"
"brottskategori","4.0"
"stereotyper","1.0"
"vattenverksamheter","2.0"
"formfrågan","7.0"
"monica","1.0"
"överväga","4.0"
"närområdet","10.0"
"myndigheters","2.0"
"motvind","1.0"
"11,2","1.0"
"miljöskatterna","2.0"
"skamligt","1.0"
"underlätta","13.0"
"beröra","1.0"
"rättning","1.0"
"pågått","4.0"
"färd","1.0"
"färg","1.0"
"reparationer","1.0"
"saken","6.0"
"bevakar","2.0"
"skärgårdssamhälle","1.0"
"påvisa","1.0"
"vägslitageskatt","3.0"
"bevakas","1.0"
"blandas","1.0"
"saker","53.0"
"skolstart","1.0"
"berörs","3.0"
"polariseras","2.0"
"kapaciteten","6.0"
"klassrummen","1.0"
"omsluter","1.0"
"helhetsbild","2.0"
"klassrummet","2.0"
"verksamhetsformer","1.0"
"påpekade","2.0"
"ägarprövningsutredningens","2.0"
"röster","1.0"
"urbanisering","1.0"
"programområdena","1.0"
"sammankallar","1.0"
"mikael","6.0"
"lantbruk","1.0"
"oense","2.0"
"skydd","10.0"
"enhetschefer","1.0"
"komplexa","1.0"
"suttit","6.0"
"järnvägssystem","1.0"
"utsläppsbegränsningar","1.0"
"fn-förhandlingar","1.0"
"syftar","14.0"
"omfattning","2.0"
"organisationerna","3.0"
"mediesamhället","1.0"
"avsevärda","1.0"
"investeringsklimat","1.0"
"kostnad","3.0"
"fröidh","1.0"
"slentrianmässigt","1.0"
"säkerhetsstandarderna","2.0"
"exponering","1.0"
"del","168.0"
"klimatpolitiska","2.0"
"den","1216.0"
"dem","87.0"
"kronofogdemyndigheten","1.0"
"det","3401.0"
"tillståndspliktiga","1.0"
"investeringsprogram","1.0"
"förgifta","1.0"
"klimatpolitiskt","1.0"
"direktivändringar","1.0"
"fastigheter","1.0"
"förnybart","1.0"
"fattigdom","7.0"
"signalfel","1.0"
"säkerställa","41.0"
"byggda","1.0"
"stipulerar","1.0"
"fördela","1.0"
"slutbetänkande","3.0"
"inför","33.0"
"överfiske","1.0"
"ansatsen","1.0"
"förnybara","13.0"
"produktion","7.0"
"byggde","1.0"
"kriser","6.0"
"presenterades","2.0"
"säkerställs","1.0"
"kunskapsresultat","4.0"
"krisen","4.0"
"hindren","1.0"
"vattendirektivets","4.0"
"vaccinationer","1.0"
"upplysande","1.0"
"stolta","3.0"
"tillfällighet","1.0"
"avståndsreglerna","1.0"
"delarna","3.0"
"denis","1.0"
"frustrerande","2.0"
"nödvändig","1.0"
"transparens","3.0"
"miljöpolitikens","1.0"
"grundproblemet","1.0"
"sjuka","2.0"
"tidigare","127.0"
"förrän","1.0"
"term","1.0"
"underhåll","4.0"
"säger","64.0"
"vittnesmålen","1.0"
"korta","4.0"
"åsikten","1.0"
"pryder","1.0"
"bergsbrunna","1.0"
"bostäder?","2.0"
"vittnesmålet","1.0"
"kommentera","4.0"
"utgjorde","1.0"
"bygger","26.0"
"uppklaringsprocenten","1.0"
"kuhnke","1.0"
"publicera","1.0"
"transporter","15.0"
"närvarande","13.0"
"afghanistan","2.0"
"näringsidkare","2.0"
"fattades","5.0"
"åsikter","7.0"
"under","217.0"
"osäkra","2.0"
"trivector","1.0"
"något","97.0"
"frustrerad","1.0"
"dig","7.0"
"beklämd","1.0"
"tolerans","1.0"
"användningsområden","4.0"
"idéburen","2.0"
"mellan","92.0"
"miljöpris","1.0"
"din","2.0"
"träder","2.0"
"erbjudit","2.0"
"räntetak","1.0"
"förhandlade","1.0"
"hölls","2.0"
"dit","6.0"
"exemplen","3.0"
"rabatter","1.0"
"säga:","5.0"
"dygnet","3.0"
"enats","2.0"
"exemplet","2.0"
"nyinvald","1.0"
"någon","71.0"
"lönsamhetskrav","1.0"
"statsadministrationen","1.0"
"stadsmiljöprogrammet","1.0"
"överklagats","1.0"
"undersöka","3.0"
"omgivande","4.0"
"strax","1.0"
"miljömålsrådet","6.0"
"bromssträcka","1.0"
"utbyggnaden","4.0"
"förändring","8.0"
"ulf","8.0"
"uppfattats","1.0"
"nyttjar","3.0"
"nyttjas","1.0"
"biodrivmedel","2.0"
"missbruket","1.0"
"innebär","55.0"
"förskollärarlegitimation","1.0"
"knorr","1.0"
"vetskap","2.0"
"hindrar","1.0"
"bred","14.0"
"konkurrenssituation","1.0"
"entréintäkterna","1.0"
"underligt","1.0"
"stater","1.0"
"menade","7.0"
"kunskapskraven","11.0"
"personalansvar","2.0"
"mätningar","1.0"
"delade","2.0"
"kammarrätt","1.0"
"hotar","5.0"
"politiserade","1.0"
"etter","1.0"
"fynden","3.0"
"biståndet","15.0"
"hotad","1.0"
"instansordningen","2.0"
"respektera","1.0"
"stimulera","2.0"
"dödshot","1.0"
"doktor","2.0"
"översyn","9.0"
"platserna","1.0"
"folkrörelse","1.0"
"aktualiserats","1.0"
"hyreskrav","1.0"
"eriksson","4.0"
"frågor","114.0"
"orkaner","1.0"
"världshandelsorganisationen","2.0"
"myndighetsstruktur","2.0"
"ung","1.0"
"tomma","1.0"
"skolpersonal","1.0"
"intagit","1.0"
"areal","1.0"
"eu-länder","4.0"
"grann","5.0"
"majoritet","12.0"
"fylla","3.0"
"flytten","1.0"
"undan","3.0"
"3,5","1.0"
"grant","1.0"
"3,6","2.0"
"framväxten","1.0"
"utbetalades","1.0"
"behäftade","1.0"
"dimensioner","3.0"
"församlingarna","1.0"
"generationerna","1.0"
"nedvärderas","1.0"
"konstruerad","1.0"
"miljöerna","1.0"
"erbjuden","1.0"
"orten","1.0"
"styrkedjan","11.0"
"omhändertagandet","1.0"
"kvoteringstendenser","1.0"
"orter","6.0"
"riktade","5.0"
"namnunderskrifter","1.0"
"erbjuder","2.0"
"finska","14.0"
"miljövänligt","1.0"
"text","2.0"
"åtagandena","1.0"
"könsmaktsordning","1.0"
"minskande","1.0"
"alliansregeringen","17.0"
"återinfördes","1.0"
"made","1.0"
"vinstintresse","5.0"
"detaljhandel","1.0"
"myggsäsong","1.0"
"darra","1.0"
"brev","4.0"
"livsmedelsstrategi","2.0"
"2006-2014","1.0"
"byggstenar","1.0"
"ansats","1.0"
"upp","248.0"
"berättade","1.0"
"nedsättningar","1.0"
"johan","11.0"
"jordbruksverket","2.0"
"nitlotter","1.0"
"förarbetena","1.0"
"ansöker","2.0"
"status","5.0"
"krissituationen","1.0"
"skärgårdsmiljöintressen","1.0"
"känsligheten","1.0"
"räknade","4.0"
"miljökraven","1.0"
"kärnkraftverket","4.0"
"hyresstatistisk","1.0"
"liknande?","1.0"
"brott","12.0"
"initierandet","1.0"
"några","70.0"
"storartade","1.0"
"controllerfunktionen","1.0"
"kärnkraftverken","12.0"
"etablerad","2.0"
"turistindustrin","1.0"
"etnicitet","4.0"
"motsats","1.0"
"ettan","2.0"
"dörrarna","4.0"
"statlig","16.0"
"klimatbetinget","1.0"
"etablerat","1.0"
"erkänt","2.0"
"miniminivåer","1.0"
"klar","4.0"
"motsatt","3.0"
"myndighetshandläggas","1.0"
"baner","1.0"
"smärtsam","1.0"
"huvudsakligen","3.0"
"långtradartrafik","1.0"
"300","2.0"
"kultur-","14.0"
"börsnoterade","1.0"
"investeringen","3.0"
"lunds","10.0"
"emellan","2.0"
"medieutvecklingen","1.0"
"satellit","2.0"
"40-50","1.0"
"ut?","1.0"
"usa","3.0"
"oppositionspartierna","2.0"
"skyttegravar","1.0"
"planeringshorisonter","1.0"
"use","1.0"
"strid","2.0"
"massförekomsten","1.0"
"edward","1.0"
"statsråd","28.0"
"månad","1.0"
"dra","6.0"
"erbjudas","3.0"
"omsättning","1.0"
"rörde","1.0"
"gällande","8.0"
"drk","10.0"
"upplysningar","2.0"
"äganderätter","1.0"
"reservkraft","1.0"
"likvärdig","5.0"
"bostadsbolag","2.0"
"arlanda","16.0"
"inriktad","3.0"
"40 000","1.0"
"ute","14.0"
"vittnesmål","1.0"
"intensivt","5.0"
"alingsåshems","1.0"
"inriktat","1.0"
"klimatramverket","1.0"
"utvecklingstendenser","1.0"
"inriktas","1.0"
"tamdjurshållning","1.0"
"inriktar","1.0"
"reglering","10.0"
"ansökan","11.0"
"uppskattad","2.0"
"kommunpolitikernas","1.0"
"nyheterna","1.0"
"ellen","2.0"
"makt","5.0"
"amortera","1.0"
"eller","219.0"
"kulturrådet","1.0"
"återuppbyggnadsarbetet","1.0"
"låter","12.0"
"peaktider","2.0"
"friluftspolitiken","3.0"
"syftade","5.0"
"stiftelsen","1.0"
"presstödskommittén","4.0"
"utvecklingsländerna","2.0"
"peaktiden","1.0"
"gudstjänsten","1.0"
"plattform","2.0"
"avräkningarna","1.0"
"konfirmerat","1.0"
"biomassa","1.0"
"nivåer","8.0"
"kammarens","2.0"
"investeringar","19.0"
"bemöta","2.0"
"skedde","3.0"
"uppskattar","3.0"
"uppskattat","2.0"
"uppskattas","3.0"
"skickats","1.0"
"anspråk","1.0"
"bergrummet","1.0"
"föda","1.0"
"rådiga","1.0"
"fackliga","1.0"
"publicerat","1.0"
"jordanien","8.0"
"föranledde","1.0"
"kontinuitet","2.0"
"ursprungliga","1.0"
"avsättas","2.0"
"tillsätter","3.0"
"skeptisk","3.0"
"betydligt","9.0"
"ambassadör","2.0"
"åtgärderna.","1.0"
"omkring","7.0"
"carlgren","2.0"
"ideologiska","4.0"
"kemikaliefrågor","1.0"
"generationsmålet","4.0"
"acceptans","1.0"
"utbyta","2.0"
"bana","1.0"
"10","4.0"
"utbyte","2.0"
"talman","307.0"
"11","2.0"
"600 000","1.0"
"ifau","1.0"
"12","1.0"
"13","2.0"
"14","5.0"
"15","5.0"
"debattartikel","1.0"
"16","8.0"
"terrestert","1.0"
"17","6.0"
"malm","1.0"
"inrikes","1.0"
"inspektioner","2.0"
"18","2.0"
"mall","1.0"
"19","3.0"
"stöden","2.0"
"allesammans","1.0"
"grundläggande","13.0"
"stöder","12.0"
"beakta","10.0"
"stödet","21.0"
"tillsattes","6.0"
"strandskyddets","1.0"
"resonemang","4.0"
"oordnade","1.0"
"förenade","2.0"
"temporär","1.0"
"hyresnivå","1.0"
"göra?","1.0"
"rättvisare","1.0"
"20","11.0"
"byggandet","6.0"
"borttagande","1.0"
"23","5.0"
"27","1.0"
"28","1.0"
"göras","29.0"
"finné","11.0"
"underrubriker","1.0"
"tredjedelar","1.0"
"long","1.0"
"medfinansiera","1.0"
"perfekta","2.0"
"söker","4.0"
"uppdaterade","1.0"
"signalera","1.0"
"kippa","1.0"
"styleref","121.0"
"talesperson","1.0"
"industri","1.0"
"talmannen","1.0"
"30","9.0"
"31","3.0"
"västra","4.0"
"skogsvårdslagen","3.0"
"stat","11.0"
"controller","1.0"
"35","2.0"
"36","1.0"
"partiledare","1.0"
"37","1.0"
"fotbollslag","1.0"
"kontinuiteten","1.0"
"maskineriet","1.0"
"stad","5.0"
"ingår","15.0"
"relationer","4.0"
"mana","1.0"
"lågstadiet","5.0"
"reglerna","26.0"
"relationen","4.0"
"drivande","1.0"
"40","1.0"
"klimatet","2.0"
"följande","2.0"
"bara","93.0"
"avsätter","1.0"
"klimatberedningen","1.0"
"undervisar","1.0"
"isär","3.0"
"verksamma","1.0"
"godstågen","1.0"
"samhällsliv","1.0"
"anonymitet","1.0"
"partiföreträdare","1.0"
"dadgostar","19.0"
"kvinnor","47.0"
"helhet","12.0"
"barn","32.0"
"gemensam","10.0"
"teknologi","2.0"
"50","4.0"
"utsläppen","21.0"
"52","3.0"
"dörren","2.0"
"omröstningar","1.0"
"teknikspridningen","2.0"
"57","1.0"
"passionen","1.0"
"pågår","26.0"
"mängden","3.0"
"kryphål","1.0"
"tecken","2.0"
"4g","2.0"
"utfyllnad","1.0"
"verklighetsbild","1.0"
"skrivning","2.0"
"60","2.0"
"medborgare","8.0"
"välfärd","1.0"
"ekosystemen","1.0"
"republiken","8.0"
"varelser","2.0"
"hittills","5.0"
"refererar","1.0"
"myndighetsdialoger","1.0"
"ekosystemet","2.0"
"bruk","1.0"
"polemisera","1.0"
"energianvändning","6.0"
"reviderar","1.0"
"intresse","20.0"
"matematik","5.0"
"reviderat","1.0"
"klimatminister","1.0"
"stödja","15.0"
"föranleder","1.0"
"70","2.0"
"beslutsprocesser","1.0"
"sökas","2.0"
"pojkar","7.0"
"finns","454.0"
"beslutsprocessen","1.0"
"75","2.0"
"föll","2.0"
"79","2.0"
"sexårsverksamheten","1.0"
"förvissningen","1.0"
"överväganden","5.0"
"mandatperiod","5.0"
"mars","2.0"
"budgetuppföljning","1.0"
"dörrar","2.0"
"agera","11.0"
"rättsväsendet","1.0"
"externa","4.0"
"digitaliseringsidé","1.0"
"vargpolitiken","2.0"
"lopp","1.0"
"skynda","1.0"
"steg","29.0"
"historien","9.0"
"80","5.0"
"refererat","1.0"
"sten","5.0"
"beslutstagande","1.0"
"mark","9.0"
"diskussionsunderlag","1.0"
"kostnaden","7.0"
"århundradets","1.0"
"museal","3.0"
"förbereder","2.0"
"obetalda","1.0"
"trend","1.0"
"flertal","6.0"
"friluftsutövare","1.0"
"föreslås","6.0"
"granskar","3.0"
"myndighetsföreskrift","1.0"
"förebyggande","9.0"
"konsumenten","3.0"
"granskat","1.0"
"föreslår","12.0"
"kulturmyndigheterna","1.0"
"kostnader","14.0"
"konsumenter","4.0"
"skuggan","1.0"
"9)","1.0"
"maud","1.0"
"teleoperatörerna","3.0"
"seriöst","2.0"
"dessvärre","4.0"
"lokalbevakning","1.0"
"ostlänkens","1.0"
"90","7.0"
"räntebetalningar","1.0"
"vad","198.0"
"miljörörelsen","1.0"
"forskningsprogrammet","1.0"
"kommunföreträdare","1.0"
"97","1.0"
"98","2.0"
"val","8.0"
"transparenta","2.0"
"mats","31.0"
"99","1.0"
"verksamhet","55.0"
"fastboende","1.0"
"laddstolpar","1.0"
"seriösa","6.0"
