"party","V"
"påläst","1.0"
"agerar","7.0"
"sortera","1.0"
"relaterat","1.0"
"tre","22.0"
"cpt","2.0"
"agerat","2.0"
"arbetar","7.0"
"arbetat","8.0"
"arbetas","1.0"
"tro","5.0"
"200","1.0"
"ekonomin","8.0"
"viktningen","1.0"
"hyresgästen","2.0"
"trygghet","3.0"
"inskrivna","2.0"
"handlade","5.0"
"tvågraders","1.0"
"hyresgäster","4.0"
"professorskontrakt","1.0"
"ränta","2.0"
"tobaksföretagen","1.0"
"utsättningarna","1.0"
"sexuella","2.0"
"tindouf","1.0"
"bakgrunden","4.0"
"väsentliga","2.0"
"gransknings</em>","1.0"
"bedömningarna","1.0"
"totala","2.0"
"sexuellt","1.0"
"bilden","7.0"
"vardagsrum","1.0"
"jordbävningar","2.0"
"ammunition","3.0"
"gränsvakter","1.0"
"vinstaffär","1.0"
"samråda","1.0"
"kopior","1.0"
"illavarslande","1.0"
"strandhäll","6.0"
"vardagstillvaro","1.0"
"maximal","1.0"
"samordningsvinster","1.0"
"rockaden","1.0"
"lösa","17.0"
"nämligen","39.0"
"infanteribrigader","1.0"
"investeringspengar","1.0"
"tredje","6.0"
"tv4","2.0"
"analys","9.0"
"totalt","5.0"
"ompröva","1.0"
"csg","1.0"
"fackligt","1.0"
"nödkylning","1.0"
"skrivningen","1.0"
"stöttar","1.0"
"deltider","2.0"
"nästan","25.0"
"tidtabell","1.0"
"djurvälfärd?","1.0"
"capita","1.0"
"diskussionerna","1.0"
"rådande","1.0"
"bevisa","1.0"
"japan","1.0"
"lönenormerande","1.0"
"begär","1.0"
"extratrafik","1.0"
"subsidiaritetsprincipen","1.0"
"fiskarna","1.0"
"avveckla","14.0"
"kritiserade","1.0"
"tur","6.0"
"uttrycka","1.0"
"gången","7.0"
"otryggheten","2.0"
"låta","6.0"
"mellanår","1.0"
"jorden","5.0"
"bostäder","7.0"
"gånger","22.0"
"rakblad","1.0"
"inbyggt","1.0"
"landsbygd","3.0"
"efterlyser","1.0"
"uppmärksamma","2.0"
"nödvändigt","4.0"
"ohälsa","5.0"
"släppas","1.0"
"livsstilsfråga","1.0"
"skatteåterbäring","1.0"
"begås","1.0"
"flygbranschen","5.0"
"ekonomer","1.0"
"låst","2.0"
"behovs-","1.0"
"motsvarande","3.0"
"utredningens","1.0"
"22-23","1.0"
"nödvändiga","1.0"
"22-24","1.0"
"utlandsfödda","1.0"
"rimligare","1.0"
"cup","1.0"
"nyligen","3.0"
"skyldighet","1.0"
"250","1.0"
"bransch","5.0"
"kramar","1.0"
"arbetsmiljöfrågorna","1.0"
"pengamaskin","1.0"
"tillsyn","6.0"
"belägrad","1.0"
"10-15","1.0"
"marknadsandel","1.0"
"låtit","4.0"
"besvikelse","2.0"
"uttrycks","2.0"
"styrkan","1.0"
"grisuppfödning","1.0"
"skulder","1.0"
"flyg","1.0"
"fuskande","1.0"
"besitta","2.0"
"laglig","2.0"
"jihadisterna","1.0"
"tillsynsmyndigheter","1.0"
"flyr","1.0"
"dagligen","2.0"
"godkännande","1.0"
"fn:s","11.0"
"utjämnas","1.0"
"energidistribution","1.0"
"lektorer","1.0"
"syftet","9.0"
"avvisas","1.0"
"fattat","3.0"
"fattas","5.0"
"fattar","2.0"
"ledningen","1.0"
"uttryckt","1.0"
"diskussionen","5.0"
"lämnas","1.0"
"lämnar","3.0"
"östersjön","1.0"
"veterligen","1.0"
"diskussioner","5.0"
"grannkommunen","1.0"
"lämnat","2.0"
"utspelar","1.0"
"typ","7.0"
"ungdomar","11.0"
"anna","1.0"
"riskkapitalister","1.0"
"lantbruksuniversitetet","1.0"
"budget","18.0"
"överklagade","1.0"
"släpper","2.0"
"två","42.0"
"irrelevanta","1.0"
"10 000","5.0"
"inskriven","1.0"
"tolkar","4.0"
"mångt","1.0"
"föreskrifter","3.0"
"bistånd","16.0"
"ofta","39.0"
"fördelaktiga","2.0"
"stenar","1.0"
"ultimata","1.0"
"inskrivet","1.0"
"till?","2.0"
"pröva","1.0"
"önskemål","1.0"
"reseavdraget","1.0"
"glapp","2.0"
"mobilisering","1.0"
"preciseras","1.0"
"avvecklas","2.0"
"äntligen","1.0"
"reviderades","1.0"
"290","1.0"
"affären","3.0"
"tills","5.0"
"miljöfarliga","1.0"
"regeringskansliet","3.0"
"affärer","4.0"
"demokratifrågorna","1.0"
"högskolorna","1.0"
"stark","15.0"
"avvecklad","1.0"
"hyror","5.0"
"förfrågan","1.0"
"många","144.0"
"effekterna","3.0"
"bevisat","1.0"
"beaktas","1.0"
"beaktar","1.0"
"utlokaliserarar","1.0"
"löneadministratörer","1.0"
"förbättring","1.0"
"oppositionsparti","1.0"
"förhandla","2.0"
"folket","10.0"
"nämnderna?","1.0"
"hotell","2.0"
"starta","7.0"
"fallen","1.0"
"analysera","2.0"
"medborgarna?","1.0"
"kvaliteten","1.0"
"befolkningen","15.0"
"fallet","12.0"
"faller","1.0"
"landstinget","1.0"
"expanderar","1.0"
"dimensionerar","1.0"
"professionellt","1.0"
"kraftigt","13.0"
"träffa","6.0"
"skryta","1.0"
"gångna","1.0"
"socialtjänst","5.0"
"innehas","3.0"
"utvisningarna","1.0"
"professionella","1.0"
"kraftiga","3.0"
"annars","9.0"
"personers","2.0"
"citera","2.0"
"oberört","1.0"
"repövningar","1.0"
"myndighetens","5.0"
"miljöinvesteringar","1.0"
"vinstdrivande","3.0"
"bolag;","1.0"
"övergrepp","3.0"
"inlyssnande","1.0"
"införa","11.0"
"miljonerna","1.0"
"pussel","1.0"
"såvitt","2.0"
"stadsdel","2.0"
"infrastrukturplaner","1.0"
"infrastrukturplanen","1.0"
"röstat","1.0"
"12 500","1.0"
"icke-självstyrande","1.0"
"migrationsöverdomstolen","6.0"
"idogt","1.0"
"motionerat","1.0"
"vansinnigt","2.0"
"standarder","1.0"
"infört","3.0"
"jämställdhetsaspekterna","1.0"
"röstar","3.0"
"branscher?","1.0"
"rationaliserat","2.0"
"placerad","1.0"
"diskussion","7.0"
"belägg","1.0"
"bolags","1.0"
"huvudfrågan","3.0"
"tragikomisk","1.0"
"placerar","1.0"
"anta","1.0"
"hjälper","3.0"
"stockholms","7.0"
"signalerar","1.0"
"styrning","6.0"
"ojämn","3.0"
"studenterna","1.0"
"dag","140.0"
"likhet","2.0"
"slussat","1.0"
"utlokalisering","4.0"
"sjysta","2.0"
"prestigeprojekt","1.0"
"storstäder","1.0"
"gäller?","1.0"
"ceuta","1.0"
"stereotyper","1.0"
"tankevurpa","2.0"
"slösat","1.0"
"myndigheters","2.0"
"relativlönerna","4.0"
"lövin","6.0"
"lönebildningsprocessen","1.0"
"otillgänglighet","1.0"
"beröra","2.0"
"medgett","1.0"
"400-500","1.0"
"pågått","3.0"
"skövlar","1.0"
"färg","1.0"
"saken","7.0"
"anställningsskydd?","1.0"
"blandar","1.0"
"påvisa","1.0"
"rösten","1.0"
"saker","27.0"
"berört","1.0"
"proppar","1.0"
"sexualbrottslagstiftningen","2.0"
"hyrestak","1.0"
"påpekade","1.0"
"de:","1.0"
"mannens","1.0"
"röster","4.0"
"frias","1.0"
"begått","1.0"
"mikael","40.0"
"förtid","1.0"
"studiebesök","1.0"
"skydd","4.0"
"komplexa","1.0"
"suttit","3.0"
"järnvägssystem","1.0"
"sandviken","4.0"
"syftat","1.0"
"komplext","2.0"
"syftar","5.0"
"ddr","1.0"
"målgruppen","3.0"
"slutprodukten","1.0"
"omfattning","1.0"
"organisationerna","2.0"
"förmånsbilsbeskattning","1.0"
"barnombudsmannen","3.0"
"uppskjuts","1.0"
"kostnad","1.0"
"folkhälsopolitik","1.0"
"slentrianmässigt","1.0"
"del","75.0"
"rimmar","2.0"
"den","742.0"
"dem","81.0"
"det","2863.0"
"antirasistisk","1.0"
"kraftvärmen","1.0"
"vrångö","2.0"
"förnybart","5.0"
"fattigdom","4.0"
"intervju","2.0"
"smugglare","2.0"
"säkerställa","3.0"
"längtan","1.0"
"trettiotalet","3.0"
"inför","27.0"
"styrkor","1.0"
"västeuropa","2.0"
"produktion","1.0"
"byggde","1.0"
"förnybara","3.0"
"upplevelse","1.0"
"gruppvåldtäkter","1.0"
"sprututbyten","1.0"
"krisen","2.0"
"underhållsarbetare","1.0"
"boendesituation","1.0"
"tongångar","1.0"
"hindret","1.0"
"häktningssystemet","1.0"
"fallen?","1.0"
"sdu:s","3.0"
"stolta","2.0"
"15-24","1.0"
"landsting?","1.0"
"korsa","1.0"
"delarna","1.0"
"denis","1.0"
"somrarna","2.0"
"nödvändig","2.0"
"protokollet","1.0"
"transparens","3.0"
"grundproblemet","1.0"
"hotet","2.0"
"sjuka","3.0"
"tidigare","69.0"
"förrän","2.0"
"betalade;","1.0"
"titeln","1.0"
"konkurrensutsatta","4.0"
"underhåll","6.0"
"säger","101.0"
"förråd","1.0"
"korta","1.0"
"15-39","1.0"
"illustrera","1.0"
"gruppens","1.0"
"tidigast","1.0"
"etnisk","1.0"
"kommentera","2.0"
"bygger","11.0"
"importerat","1.0"
"kuhnke","2.0"
"bygget","2.0"
"transporter","2.0"
"närvarande","2.0"
"afghanistan","6.0"
"djurrättsorganisationer","1.0"
"fattades","1.0"
"åsikter","2.0"
"under","122.0"
"osäkra","7.0"
"ledstjärnan","1.0"
"något","72.0"
"dig","18.0"
"förhållningssätt","4.0"
"mellan","70.0"
"din","1.0"
"klimatkonventionen","1.0"
"räntetak","2.0"
"göteborgståget","1.0"
"förhandlade","2.0"
"förlustaffär","2.0"
"dit","3.0"
"terrorister","1.0"
"säga:","5.0"
"vägras","1.0"
"enats","1.0"
"stram","1.0"
"helhetsperspektiv","1.0"
"exemplet","4.0"
"någon","63.0"
"undersöka","2.0"
"sökte","2.0"
"vägran","1.0"
"strax","2.0"
"förändring","4.0"
"utländsk","1.0"
"specialrapportörer","1.0"
"hundratalet","1.0"
"lågavlönade","2.0"
"missbruket","1.0"
"innebär","35.0"
"utvecklingsutmaningar","1.0"
"utrustade","1.0"
"deklaration","2.0"
"råkapitalism","1.0"
"utbildningspolitik","1.0"
"hindrat","1.0"
"vetskap","1.0"
"överföra","1.0"
"hindras","1.0"
"bred","1.0"
"konkurrenssituation","1.0"
"hälsoverksamhet","1.0"
"folkstockning","1.0"
"psykolog","1.0"
"underligt","1.0"
"systerparti","1.0"
"stater","19.0"
"myter","1.0"
"menade","2.0"
"godsvolymer","1.0"
"mätningar","1.0"
"delade","1.0"
"hotar","2.0"
"jätteglad","1.0"
"sägas","1.0"
"biståndet","13.0"
"respektera","2.0"
"stimulera","1.0"
"ordningsvakter","1.0"
"nyaste","1.0"
"litade","1.0"
"uppfattat?","1.0"
"doktor","2.0"
"grundmurat","1.0"
"aktualiserats","1.0"
"damberg","41.0"
"frågor","55.0"
"världshandelsorganisationen","2.0"
"ung","1.0"
"tomma","3.0"
"hjälpas","2.0"
"eu-länder","8.0"
"grann","10.0"
"partis","1.0"
"timanställning?","1.0"
"fylla","2.0"
"flyktingsmugglare","3.0"
"majoritet","3.0"
"unt","2.0"
"flytten","1.0"
"3,5","1.0"
"undan","4.0"
"ansvarsförflyttning","1.0"
"dimensionerad","1.0"
"jättesvårt","2.0"
"ambitionen?","1.0"
"församlingarna","1.0"
"miljöerna","1.0"
"orten","3.0"
"utnyttjats","1.0"
"murbyggen","1.0"
"riktade","5.0"
"orter","4.0"
"partikoll","1.0"
"fasade","1.0"
"erbjuder","5.0"
"sydöstra","1.0"
"finska","4.0"
"miljövänligt","1.0"
"text","1.0"
"grovkalibrig","1.0"
"ingångslönen","1.0"
"aning","2.0"
"alliansregeringen","3.0"
"näringsministern","7.0"
"ytstridsfartyg","1.0"
"påpekats","1.0"
"biståndspengarna","1.0"
"brev","8.0"
"lika?","1.0"
"livsmedelsstrategi","1.0"
"upp","118.0"
"nedsättningar","1.0"
"40-70","1.0"
"jordbruksverket","7.0"
"givande","1.0"
"förarbetena","2.0"
"status","4.0"
"kairo","1.0"
"mage","1.0"
"gärningsmannen","2.0"
"dom","3.0"
"rapporterats","1.0"
"brott","7.0"
"några","62.0"
"kärnkraftverken","5.0"
"riksteatern","1.0"
"unionen","6.0"
"ansökningarna","4.0"
"dörrarna","3.0"
"statlig","6.0"
"etablerar","1.0"
"kvarskatt","1.0"
"forskningsmiljöer</em>","1.0"
"erkänt","3.0"
"klar","5.0"
"samtyckeslagstiftning","2.0"
"identiteten","1.0"
"motsatt","3.0"
"quebec","1.0"
"oändligt","2.0"
"300","4.0"
"skattebefrielser","1.0"
"tilltar","1.0"
"investeringen","2.0"
"40-50","1.0"
"ambitioner?","1.0"
"40-45","1.0"
"ut?","1.0"
"usa","8.0"
"subventionera","1.0"
"strid","3.0"
"pålitlig","1.0"
"statsråd","5.0"
"trafikplatser","1.0"
"mörker","1.0"
"månad","1.0"
"dra","7.0"
"erbjudas","1.0"
"kompis","1.0"
"avkrävas","1.0"
"mottagningar","1.0"
"centralafrikanska","1.0"
"gällande","2.0"
"suggorna","2.0"
"piteå","2.0"
"40 000","2.0"
"skillnad?","1.0"
"ute","12.0"
"vittnesmål","1.0"
"djurförsök","27.0"
"hämtat","1.0"
"intensivt","2.0"
"begäran","1.0"
"inriktat","2.0"
"halvåret","2.0"
"skedet","1.0"
"underdomstolarna","1.0"
"inriktas","1.0"
"ansökan","9.0"
"sd:s","1.0"
"övertas","1.0"
"salvador","1.0"
"skaffade","1.0"
"makt","6.0"
"angola","1.0"
"du?","1.0"
"eller","208.0"
"överlevnadsinstinkten","1.0"
"industriområdet","1.0"
"bali","1.0"
"låter","10.0"
"syftade","1.0"
"nuon","1.0"
"335","1.0"
"utvecklingsländerna","13.0"
"osynliggjorda","1.0"
"ursprungsländer","2.0"
"försummas","1.0"
"15 procent","1.0"
"frivilligorganisationer","1.0"
"beviljades","2.0"
"nivåer","2.0"
"kammarens","1.0"
"tidsbegränsade","2.0"
"investeringar","13.0"
"imponerad","1.0"
"skedde","1.0"
"banan","12.0"
"uppskattat","1.0"
"anspråk","1.0"
"byter","3.0"
"förbifart","6.0"
"dum","1.0"
"förvanskas","1.0"
"fackliga","8.0"
"frågan?","4.0"
"betydligt","8.0"
"omkring","1.0"
"bang","1.0"
"2003-2004","1.0"
"ideologiska","2.0"
"acceptans","1.0"
"band","1.0"
"bana","1.0"
"klarats","1.0"
"utbyte","1.0"
"10","4.0"
"talman","193.0"
"12","4.0"
"13","2.0"
"14","7.0"
"15","10.0"
"16","4.0"
"lönenivån","1.0"
"malm","3.0"
"17","3.0"
"inrikes","1.0"
"inspektioner","1.0"
"18","4.0"
"19","1.0"
"segregerande","1.0"
"grundläggande","14.0"
"helstatliga","1.0"
"stöder","4.0"
"beakta","2.0"
"helgerna","1.0"
"stödet","4.0"
"kollusionsfara","1.0"
"1991?","1.0"
"göra?","2.0"
"rättvisare","1.0"
"20","6.0"
"70-tal","1.0"
"byggandet","7.0"
"21","2.0"
"22","2.0"
"23","2.0"
"24","3.0"
"kylningen","1.0"
"säkerhetsbrister","1.0"
"25","6.0"
"27","2.0"
"göras","12.0"
"svepande","1.0"
"överlevnad?","1.0"
"söker","8.0"
"uppdaterade","1.0"
"graffitifrämjandet","1.0"
"styleref","84.0"
"förvägrats","1.0"
"industri","3.0"
"30","8.0"
"31","3.0"
"33","1.0"
"illusioner","2.0"
"stat","3.0"
"35","2.0"
"ojämlikheten","2.0"
"mans","1.0"
"språkkunskaper","2.0"
"ingås","1.0"
"stad","2.0"
"skrika","1.0"
"ingår","8.0"
"relationer","1.0"
"reglerna","5.0"
"relationen","4.0"
"§ 4","2.0"
"drivande","1.0"
"40","7.0"
"41","1.0"
"klimatet","21.0"
"43","2.0"
"bara","119.0"
"mamma","3.0"
"45","4.0"
"49","1.0"
"<em>leva","1.0"
"fjärdedelars","1.0"
"rationaliseringar","2.0"
"våldtäkterna","3.0"
"kvinnor","90.0"
"helhet","9.0"
"barn","61.0"
"hälsofråga","1.0"
"gemensam","6.0"
"50","11.0"
"utsläppen","14.0"
"avundsjuk","1.0"
"dörren","1.0"
"3r","2.0"
"omröstningar","1.0"
"55","1.0"
"58","1.0"
"59","1.0"
"pågår","16.0"
"företagssidan","1.0"
"blanche","1.0"
"pressar","2.0"
"näringsverksamhet","1.0"
"studentplatser","1.0"
"60","4.0"
"medborgare","1.0"
"62","2.0"
"välfärd","9.0"
"bagdad","1.0"
"seminarium","1.0"
"sammanhang?","1.0"
"migrationspolitiska","1.0"
"valfrihet","3.0"
"65","3.0"
"ekosystemen","1.0"
"knäckfrågan","1.0"
"republiken","2.0"
"bekymmer","3.0"
"refererar","2.0"
"hittills","5.0"
"ekosystemet","1.0"
"bruk","1.0"
"smittspridning","1.0"
"licentiand","1.0"
"advokat","1.0"
"intresse","3.0"
"boendemiljöer","2.0"
"föranleder","2.0"
"stödja","6.0"
"oönskade","1.0"
"70","2.0"
"beslutsprocesser","1.0"
"helstatligt","1.0"
"beskjutningar","1.0"
"ribban?","1.0"
"gehör","1.0"
"finns","263.0"
"75","3.0"
"mandatperiod","1.0"
"vetot","2.0"
"mars","3.0"
"dörrar","4.0"
"agera","15.0"
"livstidsfrågor","1.0"
"marx","1.0"
"rättsväsendet","3.0"
"kvinnofridsarbetet","1.0"
"skogsbranden","4.0"
"externa","1.0"
"övertagande","1.0"
"skynda","2.0"
"skaffar","1.0"
"mare","2.0"
"steg","15.0"
"skaffat","2.0"
"historien","4.0"
"80","3.0"
"landsbygdsdepartementet","4.0"
"externt","1.0"
"sten","1.0"
"84","1.0"
"mark","1.0"
"87","1.0"
"kostnaden","1.0"
"förbereder","1.0"
"obetalda","3.0"
"trend","1.0"
"flertal","8.0"
"granskar","1.0"
"norrbotniabanan","16.0"
"förebyggande","1.0"
"granskat","1.0"
"föreslår","6.0"
"§ 10)","1.0"
"retoriken","1.0"
"folkhälsokommission","2.0"
"byggas?","1.0"
"kostnader","2.0"
"konsumenter","7.0"
"skuggan","1.0"
"fortfarande:","1.0"
"loss","1.0"
"seriöst","1.0"
"motståndet","1.0"
"dessvärre","3.0"
"vad","198.0"
"miljörörelsen","1.0"
"94","1.0"
"miljörörelser","1.0"
"95","1.0"
"misstänks","1.0"
"misstänkt","1.0"
"val","4.0"
"mats","3.0"
"verksamhet","19.0"
"underentreprenörer","1.0"
"seriösa","2.0"
"var","196.0"
"prioriteringar?","1.0"
"vikariat","2.0"
"inkomsterna","1.0"
"skriva","5.0"
"kvinno-","1.0"
"grunderna","2.0"
"schengenområdet","3.0"
"denna","52.0"
"staten","40.0"
"finna","1.0"
"missbrukar","1.0"
"mata","1.0"
"släcker","1.0"
"missbrukas","1.0"
"klor","1.0"
"tjänstebilar","1.0"
"rinkeby","2.0"
"fördjupats","1.0"
"försvarare","1.0"
"motfinansiering","2.0"
"inkomstbortfallsprincipen","1.0"
"jugoslavien","1.0"
"informeras","1.0"
"katrineholm","1.0"
"flyttas","1.0"
"patenträtten","1.0"
"bryr","2.0"
"rapporterade","1.0"
"genomtänkta","1.0"
"följande:","2.0"
"föra","7.0"
"informerar","1.0"
"maxa","1.0"
"papperslösa","1.0"
"injektionsmissbrukare","1.0"
"förstärkts","1.0"
"ensam","2.0"
"upsala","1.0"
"europa","21.0"
"miljöområdet","2.0"
"hbtq-personer","2.0"
"posterat","1.0"
"transparens:","1.0"
"välfärdskoncept","1.0"
"interpellationens","1.0"
"handelspolitik","1.0"
"för?","1.0"
"aldrig","19.0"
"lyssnat","3.0"
"87,3 procent","1.0"
"klottrar","1.0"
"finansinspektionen","2.0"
"lyssnar","6.0"
"tilltro","1.0"
"sakerna","4.0"
"försäljningen","1.0"
"spår","2.0"
"<em>closing","1.0"
"sanktionerar","1.0"
"plötsligt","8.0"
"henne:","1.0"
"fötterna","1.0"
"ettor","1.0"
"500-600","2.0"
"badvattnet","1.0"
"spela","3.0"
"plockade","1.0"
"bevakningsföretags","1.0"
"fördyrningen","1.0"
"mångkulturella","1.0"
"israeliska","5.0"
"ordentlig","2.0"
"vem","11.0"
"fört","3.0"
"detaljstyrning","4.0"
"förr","2.0"
"förs","6.0"
"vet","103.0"
"folkrörelser","4.0"
"förekomma","1.0"
"begrepp","2.0"
"anledning","12.0"
"revision","1.0"
"tandvård","1.0"
"före","23.0"
"minskade","2.0"
"bytte","3.0"
"fn-rapport","1.0"
"tänkte:","1.0"
"försämrades","1.0"
"folkrörelsen","2.0"
"kapacitetstaket","1.0"
"stod","8.0"
"diskriminering","4.0"
"stol","1.0"
"mervärde","1.0"
"fått","45.0"
"hennes","7.0"
"redogörelse","2.0"
"hållbarhet","1.0"
"klimatmålet","2.0"
"klimatmålen","2.0"
"djurskyddsförordning","1.0"
"låsta","2.0"
"olkiluoto","1.0"
"efterskott","1.0"
"jihadisternas","1.0"
"begåtts","1.0"
"försäljningar","1.0"
"fördelningen","3.0"
"specialiserade","1.0"
"anders","3.0"
"helhetsansvar","1.0"
"frågan:","3.0"
"åtgärdslista","1.0"
"kl. 15.56","1.0"
"stimulanser","1.0"
"begära","1.0"
"tredjedelen","1.0"
"indien","3.0"
"skickade","1.0"
"kvarleva","1.0"
"byggas","11.0"
"gemensamma","4.0"
"delbetänkandet","1.0"
"hands","3.0"
"sjukdom","3.0"
"grannländerna","1.0"
"avveckling","9.0"
"visum","1.0"
"pelarna","1.0"
"fridolin","2.0"
"utpressa","1.0"
"försvarsbudgetar","1.0"
"via","11.0"
"vid","68.0"
"råd","8.0"
"dygn","4.0"
"myndighetsutövningen","2.0"
"dyker","1.0"
"arbetsrättsområdet","1.0"
"kommunalisering","2.0"
"vis","1.0"
"njuta","1.0"
"vietnam","1.0"
"4-systemet","1.0"
"israels","4.0"
"innan","17.0"
"visst","9.0"
"förses","1.0"
"stor","52.0"
"landsbygdsdepartement","1.0"
"försökte","2.0"
"djurskyddslags","1.0"
"häpnadsväckande","2.0"
"övervakningsverksamhet","1.0"
"privata","4.0"
"större","39.0"
"centrum","2.0"
"värde?","1.0"
"demokratimål","1.0"
"spritt","1.0"
"barnfamiljerna","1.0"
"3r-center","3.0"
"jämlikhet","5.0"
"investerare","2.0"
"aggressivitet","1.0"
"optimala","1.0"
"förlorarna","1.0"
"återbetalningskrav</em>","1.0"
"u-länder","1.0"
"stund","3.0"
"socialtjänsten","9.0"
"kärnkraften?","1.0"
"missnöjd","1.0"
"störst","3.0"
"uddholm","3.0"
"tågen","4.0"
"1990-talet","1.0"
"tvekan","1.0"
"framgång","1.0"
"tvekar","1.0"
"uppfödare","1.0"
"jämställdhetsaspekten","1.0"
"illustreras","1.0"
"dyka","1.0"
"tvungen","2.0"
"wallström","7.0"
"registrera","1.0"
