"party","S"
"engagerar","8.0"
"identitetskapningar","1.0"
"skattereform","1.0"
"föräldrapenning","9.0"
"energi","33.0"
"nyfiken","3.0"
"förbättringar","8.0"
"ö","1.0"
"cancer","2.0"
"tjurar","1.0"
"frågade","20.0"
"framhållas","1.0"
"tillståndsgivande","1.0"
"rimligheten","2.0"
"rebellerna","1.0"
"verkliga","6.0"
"utvärdera","20.0"
"ordet","18.0"
"jämnare","3.0"
"beskrivning:","1.0"
"grunder","9.0"
"grunden","73.0"
"skattesystemets","4.0"
"asylsystem","3.0"
"kakabaveh","13.0"
"delmål","3.0"
"it-verktyg","1.0"
"forskningsanslagens","1.0"
"automatisk","1.0"
"7 000","4.0"
"ardalan","1.0"
"fördröjningar","1.0"
"reformen","21.0"
"omfördelning","4.0"
"orden","1.0"
"vikterna","1.0"
"reformer","83.0"
"order","1.0"
"uppgörelse","3.0"
"diagnos","1.0"
"uppgradering","1.0"
"tyvärr","110.0"
"kvinnofällan","1.0"
"göteborgstrakten","1.0"
"skattereglerna","2.0"
"förlängd","3.0"
"bevakningsföretagens","1.0"
"personligen","13.0"
"nöjet","1.0"
"reform","29.0"
"nöjer","1.0"
"pliktlagstiftningen","1.0"
"blåser","6.0"
"påreglerar","1.0"
"förlänga","11.0"
"rimlig","15.0"
"avregleringens","1.0"
"avgifters","1.0"
"varsel","3.0"
"avvakta","13.0"
"homosexuella","2.0"
"inputsatsningar","1.0"
"skiljas","1.0"
"fff-utredningen","1.0"
"avvisade","2.0"
"budgetåret","1.0"
"fenomen","2.0"
"fattig","1.0"
"bildas","3.0"
"blufffakturor","1.0"
"bildar","4.0"
"samhällslivet","2.0"
"lång","113.0"
"seger","3.0"
"bildat","3.0"
"ekvationen","1.0"
"co2","2.0"
"reella","5.0"
"kostnadsbesparingar","1.0"
"bevisen","3.0"
"politikområden","19.0"
"problembild","3.0"
"ungarna","3.0"
"gott","54.0"
"låna","16.0"
"politikområdet","1.0"
"beklagansvärt","1.0"
"nöjda","14.0"
"flygplatser","28.0"
"unga</em>","1.0"
"reellt","8.0"
"patienters","3.0"
"flygplatsen","13.0"
"individerna","4.0"
"ross","1.0"
"effektiviseringarna","1.0"
"verkligt","4.0"
"uppmuntrade","2.0"
"vägledande","5.0"
"krister","21.0"
"2006.)","1.0"
"operatörstillstånd","1.0"
"fallolyckornas","1.0"
"luckan","1.0"
"långsökt","1.0"
"asiatiska","1.0"
"framhåller","4.0"
"tjurigt","1.0"
"danderyd","5.0"
"verklige","1.0"
"rättssäkerhetsgarantier","1.0"
"producerade","3.0"
"materielverk","1.0"
"välmående","1.0"
"färdigutredd","1.0"
"privatägda","1.0"
"cop","3.0"
"scb:s","1.0"
"generositet","1.0"
"bekväm","1.0"
"yrkesutbildningarna","2.0"
"problemorienterat","1.0"
"relaterad","1.0"
"förundersökningen","2.0"
"förenkling","4.0"
"mottagare","1.0"
"grundat","1.0"
"meningsskiljaktigheter","1.0"
"grundar","7.0"
"påläst","1.0"
"relateras","1.0"
"relaterar","1.0"
"undervattenssystemen","1.0"
"kontraktsformer","1.0"
"agerar","38.0"
"relaterat","1.0"
"baltic","1.0"
"agerat","6.0"
"rif-projektet","1.0"
"170-270","2.0"
"vårdrelaterade","1.0"
"varsam","1.0"
"passageraruppgifter","2.0"
"ackumuleras","1.0"
"trollspö","1.0"
"bakgrunder","1.0"
"valmanifest","1.0"
"stipulerade","1.0"
"trygghet","47.0"
"inskrivna","4.0"
"uppskalat","2.0"
"initialt","2.0"
"handlade","34.0"
"skattereduktion","2.0"
"provtjänstgöring","1.0"
"tendenser","1.0"
"teoretisering","1.0"
"grundtrygghetssystem","1.0"
"uppför","1.0"
"pusselbitar","1.0"
"sexuella","12.0"
"centrerat","1.0"
"bakgrunden","29.0"
"väsentliga","6.0"
"skadade","2.0"
"klarare","1.0"
"bedömningarna","5.0"
"bilder","4.0"
"sexuellt","12.0"
"bilden","22.0"
"basplatta","1.0"
"ammunition","1.0"
"väsentligt","20.0"
"ledningar","2.0"
"e65","3.0"
"samråda","1.0"
"frysa","5.0"
"nationalekonomisk","1.0"
"rådgivningshubben","1.0"
"strandhäll","2.0"
"maximal","1.0"
"luften","6.0"
"nämligen","174.0"
"karriären?","1.0"
"släpptes","1.0"
"entydig","1.0"
"motarbetat","1.0"
"handvändning;","1.0"
"ompröva","3.0"
"bemärkelsen","1.0"
"övervakningssystem","3.0"
"fackligt","1.0"
"servicecentrets","1.0"
"framhållit","3.0"
"transportleden","1.0"
"myndighetsansvar","1.0"
"insatsgrupper","5.0"
"capita","13.0"
"diskussionerna","9.0"
"eu-systemet","4.0"
"avkräva","2.0"
"halvårsskiftet","1.0"
"återfå","4.0"
"rådande","3.0"
"dåtid","1.0"
"japan","6.0"
"begär","6.0"
"andrahandsbeståndet","2.0"
"inbyggd","1.0"
"avveckla","4.0"
"lärarutbildningarna","1.0"
"huvudväg","1.0"
"arbetslöshetsmålet","1.0"
"beställningsprocess","1.0"
"gången","31.0"
"samhällsfunktioner","1.0"
"låta","50.0"
"aktivitetsersättning","1.0"
"jorden","2.0"
"anstalten","1.0"
"tidens","2.0"
"bostäder","39.0"
"gånger","96.0"
"ambitionsnivå","5.0"
"dator","1.0"
"skulden","2.0"
"arbetsförmedlingens","32.0"
"demokratiförespråkare","2.0"
"landsbygd","22.0"
"basnivån","1.0"
"efterlyser","5.0"
"forskningspolitisk","1.0"
"element","1.0"
"återgå","5.0"
"fatta?","1.0"
"ohälsa","35.0"
"släppas","1.0"
"begår","6.0"
"begås","14.0"
"tillämplig","1.0"
"avfärdade","1.0"
"transatlantisk","1.0"
"underskotten","11.0"
"låst","4.0"
"tiden?","1.0"
"motsvarande","23.0"
"underskottet","11.0"
"hyresnivåerna","1.0"
"utryck","2.0"
"forumet","1.0"
"låsa","11.0"
"pisa","1.0"
"utradera","2.0"
"eiti","1.0"
"polisregion","1.0"
"rimligare","7.0"
"allting?","1.0"
"nyligen","41.0"
"turistbranschen","1.0"
"bouveng","2.0"
"finansieringsfrågor","1.0"
"ärendeflöde","1.0"
"omständigheterna","6.0"
"jämställdhetsambitioner","1.0"
"folkbokföringen","1.0"
"personalbidrag","1.0"
"övervägt","2.0"
"synsättet","1.0"
"förbättringsarbete","2.0"
"utrikesministrarna","1.0"
"övervägs","5.0"
"områdespoliser","1.0"
"ingrediens","1.0"
"besvikelse","1.0"
"flyg","11.0"
"skulder","2.0"
"10-20","1.0"
"befolkningar","1.0"
"delsträcka","1.0"
"påfallande","1.0"
"bundet","3.0"
"remitterat","2.0"
"puberteten","1.0"
"remitteras","1.0"
"laglig","2.0"
"remitterar","1.0"
"näringsämnen","1.0"
"särintresse","5.0"
"bunden","3.0"
"bolagsskattekvot","1.0"
"polfjärds","1.0"
"flyr","7.0"
"fn:s","32.0"
"dagligen","5.0"
"galgen","1.0"
"utjämnas","1.0"
"ödmjuka","1.0"
"fattat","34.0"
"besvarades","1.0"
"fattas","14.0"
"kristna","3.0"
"lojala","3.0"
"fattar","22.0"
"berördes","1.0"
"informationsföreskrifter","1.0"
"kärnvapenparaply?","1.0"
"1 300","1.0"
"ledningen","9.0"
"förstörde","1.0"
"rätt</em>","1.0"
"diskussionen","79.0"
"överraskning","3.0"
"paletten","1.0"
"diskussioner","35.0"
"39 000","2.0"
"användande","6.0"
"afton","1.0"
"ungdomar","285.0"
"argumentering","1.0"
"landförbindelsen","1.0"
"kriminologisk","1.0"
"landförbindelser","1.0"
"dimensionerna","1.0"
"landshövdingarna","1.0"
"lönsamhetsbedömningen","1.0"
"budgetsaneringen","10.0"
"överskådlig","2.0"
"skrupelfritt","1.0"
"näringsgren","4.0"
"budget","120.0"
"släpper","2.0"
"tobaksrökningens","1.0"
"10 000","5.0"
"inskriven","2.0"
"miljöpåverkande","4.0"
"körskolor","3.0"
"brottmål","1.0"
"arbetsmarknadsutbildningar","3.0"
"föreskrifter","6.0"
"hindren?","1.0"
"ofta","85.0"
"sanerat","1.0"
"siktade","1.0"
"till:","1.0"
"1980-talet","1.0"
"stalkning","1.0"
"checklista","1.0"
"ssab","3.0"
"horribelt","2.0"
"nedläggningsbeslut","1.0"
"miljökonsekvensbeskrivning","1.0"
"reformerade","1.0"
"stulna","2.0"
"till?","4.0"
"beredningsåtgärder","3.0"
"önskemål","9.0"
"preciserat","1.0"
"mobilisering","6.0"
"preciseras","1.0"
"överträdelserna","1.0"
"bevisas","2.0"
"kvalitetsprodukter","1.0"
"molekylära","1.0"
"tills","14.0"
"regeringskansliet","55.0"
"miljöfarliga","1.0"
"bevisad","1.0"
"omfattade","1.0"
"<em>stärkt","2.0"
"förverkligas","1.0"
"förverkligat","1.0"
"högskolorna","2.0"
"religiös","3.0"
"200 miljoner","2.0"
"traineejobben","24.0"
"(isds)","1.0"
"smickrande","1.0"
"effekterna","52.0"
"arbetsförmedlingen.","1.0"
"beaktas","13.0"
"bevisat","1.0"
"beaktar","2.0"
"knäcker","1.0"
"återreglerande","1.0"
"oppositionsparti","1.0"
"förhandla","14.0"
"leverantörernas","1.0"
"folket","27.0"
"lönsamhetsbedömningar","2.0"
"kompetenscentrum","3.0"
"skyndsam","1.0"
"starta","34.0"
"analysera","34.0"
"omstöpning","1.0"
"klimatinvesteringar","2.0"
"mr-forum","1.0"
"befolkningen","21.0"
"arbetsformer","1.0"
"världskriget","5.0"
"fn-organen","3.0"
"smått","1.0"
"expanderar","2.0"
"introduktionen","1.0"
"dimensionerar","1.0"
"riktats","1.0"
"fn-organet","2.0"
"stockholm?","1.0"
"komplett","1.0"
"samtalsämne","1.0"
"entreprenörerna","2.0"
"kassaregister","1.0"
"träffa","21.0"
"skryta","1.0"
"gångna","2.0"
"socialtjänst","6.0"
"innehar","2.0"
"rekryteringen","4.0"
"sjukfall","3.0"
"polismyndighetens","2.0"
"biodiesel","1.0"
"utvisningarna","1.0"
"höginblandade","1.0"
"cameron","2.0"
"annars","43.0"
"jämsides","1.0"
"lönehantering","1.0"
"personers","6.0"
"tråd","2.0"
"citera","5.0"
"brottsligheten","35.0"
"annat?","2.0"
"berömt","1.0"
"huvudgata","1.0"
"banområde","1.0"
"myndighetens","27.0"
"reaktionerna","2.0"
"pappan","1.0"
"likströmsförbindelse","3.0"
"medborgarnas","9.0"
"östersjöområdet","5.0"
"språk!)","1.0"
"branschens","1.0"
"centralbankerna","1.0"
"utbytesekonomer","1.0"
"övergrepp","19.0"
"inlyssnande","1.0"
"kontexten","1.0"
"grundregeln","1.0"
"frågestunden","3.0"
"handlare","2.0"
"miljonerna","3.0"
"infrastrukturplaner","3.0"
"riktningen?","1.0"
"mordet","1.0"
"midnatt","1.0"
"migrationsöverdomstolen","2.0"
"kvalitetssäkringar","1.0"
"ogjort","1.0"
"repliker","1.0"
"belägg","7.0"
"landshövdingemötet","1.0"
"livssituation","1.0"
"statsvetare","1.0"
"hälsomässigt","1.0"
"byggindustrin","1.0"
"rut-avdraget","22.0"
"obebyggda","1.0"
"riktningen:","1.0"
"placeras","6.0"
"ungdomen","3.0"
"placerat","1.0"
"avpassad","3.0"
"textilier","1.0"
"stockholms","48.0"
"näringsutövare","1.0"
"övertagna","1.0"
"myndigheten?","1.0"
"styrning","27.0"
"avart","1.0"
"miljöbelastning","1.0"
"koncentreras","1.0"
"koncentrerar","1.0"
"föräldraskap","4.0"
"otydlighet","3.0"
"studenterna","3.0"
"målgrupper","1.0"
"harams","1.0"
"dag","492.0"
"22 000","2.0"
"likhet","11.0"
"inletts","2.0"
"dam","1.0"
"tackade","4.0"
"tillhörighet","1.0"
"sjysta","11.0"
"bibehålla","2.0"
"lojalt","1.0"
"åslings","1.0"
"arbetsfördelningsfråga","1.0"
"adnan","1.0"
"polisanställda","1.0"
"misstagssidan","1.0"
"överblickbart","1.0"
"flygbolagens","1.0"
"gäller?","1.0"
"återge","1.0"
"etableringslots","2.0"
"kvalitetssäkring","3.0"
"gäller;","1.0"
"slösat","1.0"
"riksbankerna","1.0"
"överväga","12.0"
"närområdet","9.0"
"ömsesidig","1.0"
"rekryteringssituationer","1.0"
"närområdes","1.0"
"myndigheters","7.0"
"trygghetsnät","1.0"
"personens","1.0"
"relativlönerna","3.0"
"transportperspektivet","1.0"
"brådskande","1.0"
"underlätta","43.0"
"beröra","1.0"
"berörd","3.0"
"blandat","1.0"
"empiriskt","1.0"
"unions-","1.0"
"9,3 procent","1.0"
"blandar","9.0"
"vägslitageskatt","15.0"
"blandas","1.0"
"berört","5.0"
"berörs","22.0"
"kapaciteten","4.0"
"justering","1.0"
"förstöras","1.0"
"oskyldiga","1.0"
"skattefinansierad","4.0"
"religionskrig","1.0"
"urbanisering","1.0"
"bibehålls","1.0"
"tänkbar","2.0"
"stödsystemen","1.0"
"sprutbyte","1.0"
"ladan","1.0"
"ansträngt","1.0"
"skydd","30.0"
"komplexa","12.0"
"stödsystemet","3.0"
"järnvägssystem","4.0"
"avvisningsärenden","1.0"
"annan:","1.0"
"flygföraren","1.0"
"branschen?","2.0"
"peking","2.0"
"stadsgräns","1.0"
"komplicera","1.0"
"komplext","5.0"
"anstränga","1.0"
"ansträngd","3.0"
"annan?","1.0"
"klagade","1.0"
"barnombudsmannen","1.0"
"lönebildningsmodell","1.0"
"investeringsklimat","1.0"
"genomströmningen","1.0"
"biljettpriser","1.0"
"förkastar","1.0"
"slentrianmässigt","1.0"
"förädlingskedjan","1.0"
"fördubbla","1.0"
"del","486.0"
"rimmar","1.0"
"den","4768.0"
"dem","509.0"
"kvinnofridslagstiftningen","1.0"
"det","14760.0"
"galet?","1.0"
"orättvisorna","2.0"
"antirasistisk","1.0"
"ärver","3.0"
"fastigheter","8.0"
"fattigdom","3.0"
"landningsskyldigheten","4.0"
"apelsin","1.0"
"säkerställa","86.0"
"trafikpolisen","2.0"
"stipulerar","1.0"
"fördela","7.0"
"trettiotalet","1.0"
"trafikpoliser","2.0"
"sjuk-","1.0"
"bredbandsservicen","1.0"
"gruppen?","1.0"
"tillväxtprofil","1.0"
"snöskoterkörning","1.0"
"strukit","2.0"
"arbetsgivaravgift","3.0"
"moderatledd","5.0"
"mötesplatser","1.0"
"säkerställs","1.0"
"icke-fråga","1.0"
"entreprenörskapskommittén","2.0"
"underhållsarbetare","1.0"
"grenar","1.0"
"säkerställt","2.0"
"upplysande","2.0"
"hushållerska","1.0"
"korsa","1.0"
"delarna","13.0"
"civilskyddsmekanism","1.0"
"grundproblemen","1.0"
"likformigt","2.0"
"grundproblemet","1.0"
"(applåder)","2.0"
"verkställighet","3.0"
"sjuka","49.0"
"halvlöfte","1.0"
"meritbaserat","1.0"
"arvet","3.0"
"medelmåttigt","1.0"
"vägunderhåll","1.0"
"underhåll","20.0"
"smitta","1.0"
"sjuke","1.0"
"medborgarperspektivet","1.0"
"skumraskföretagen","1.0"
"husseins","1.0"
"vittnesmålen","1.0"
"korta","23.0"
"business","3.0"
"energiöverenskommelse","5.0"
"gruppens","1.0"
"stridsflyg","3.0"
"effekt?","2.0"
"beteskrav","2.0"
"pryder","1.0"
"behov?","1.0"
"vittnesförhör","1.0"
"musikunderhållning","1.0"
"ärvde","8.0"
"certifikat","1.0"
"hälsning","1.0"
"etnisk","5.0"
"rovdjurskommitté","1.0"
"obetalt","2.0"
"vårdföretagen","1.0"
"spotta","1.0"
"tjock","1.0"
"publicera","2.0"
"afghanistan","3.0"
"servicepunkter?","1.0"
"fattades","7.0"
"jättefrågande","1.0"
"osäkra","9.0"
"fördubblas","1.0"
"åkermark?","1.0"
"frustrerad","1.0"
"dig","18.0"
"beklämd","1.0"
"oförmögna","1.0"
"hagshult","1.0"
"mellan","351.0"
"din","9.0"
"träder","2.0"
"dit","34.0"
"hölls","1.0"
"exemplen","2.0"
"terrorister","3.0"
"företagande","19.0"
"vägrar","2.0"
"utökande","2.0"
"dygnet","2.0"
"exemplet","14.0"
"helhetsperspektiv","6.0"
"sammanvägda","1.0"
"fyllt","6.0"
"till-fordonen","1.0"
"gruppers","3.0"
"grundförutsättning","3.0"
"beteskravet","2.0"
"fallera","1.0"
"sökte","2.0"
"strax","2.0"
"omgivande","1.0"
"riskbedömning","1.0"
"samverkansmodell","1.0"
"gröten","1.0"
"särbeskattning","1.0"
"utländsk","21.0"
"lågavlönade","1.0"
"biodrivmedel","1.0"
"marknadsekonomiskt","1.0"
"bemanningsinsatser","1.0"
"innebär","223.0"
"barnmorskor","1.0"
"traditionell","3.0"
"stödfamiljer","1.0"
"utbildningspolitik","4.0"
"likformiga","1.0"
"parti-","2.0"
"haltande","2.0"
"hindrar","13.0"
"överföra","1.0"
"antibiotikaanvändningen","1.0"
"psykolog","2.0"
"back","1.0"
"700 000","3.0"
"stater","24.0"
"mätningar","1.0"
"bada","1.0"
"respektera","10.0"
"stimulera","17.0"
"dödshot","1.0"
"nettoexportör","1.0"
"doktor","3.0"
"diversifiera","1.0"
"ett-fordonen","1.0"
"släppte","2.0"
"översyn","36.0"
"tveksamheter","1.0"
"folkrörelse","1.0"
"tillfredsställelse","3.0"
"checkpoints","1.0"
"konkurrenter","1.0"
"damberg","6.0"
"blåsa","1.0"
"underlagsrapporter","1.0"
"justitieombudsmannen","4.0"
"eu-länder","15.0"
"partis","2.0"
"fylla","7.0"
"majoritet","27.0"
"renovering","6.0"
"alkoholpolitiska","1.0"
"behäftade","6.0"
"evigt","1.0"
"begärde","6.0"
"landsbygdspolitiken","3.0"
"jättesvårt","1.0"
"expertkunskapen","2.0"
"konstruerad","1.0"
"frivilligsektorns","1.0"
"försvarsmakterna","2.0"
"riktade","14.0"
"förhandlingsstrategi","1.0"
"landningsskyldighet","3.0"
"sydöstra","1.0"
"finska","8.0"
"påtvingade","1.0"
"aning","6.0"
"kommungräns","1.0"
"budgetmedel","1.0"
"smaktillsatser","1.0"
"sfärerna","1.0"
"näringsministern","1.0"
"svb-bolagen","1.0"
"pensionär","3.0"
"rasmus","1.0"
"lönearbetat","1.0"
"berättade","6.0"
"fyrstegsprincipen","2.0"
"jordbruksverket","36.0"
"ivrig","1.0"
"dog","3.0"
"klipp","3.0"
"status","5.0"
"ungdomsföreningens","1.0"
"sjöfartstransporter","1.0"
"90-dagarsgaranti","12.0"
"gärningsmannen","6.0"
"langare","1.0"
"räknade","7.0"
"dom","15.0"
"fångsten","1.0"
"brott","126.0"
"kunskapsöverföring","1.0"
"rapporterats","1.0"
"portugal","1.0"
"komprimerad","1.0"
"signalvärde","1.0"
"inriktningsproposition","2.0"
"beredande","2.0"
"krissituationer","1.0"
"institutionernas","1.0"
"avskräcker","1.0"
"unionen","7.0"
"naturvetarna","1.0"
"ansökningarna","5.0"
"näringstillskott","1.0"
"etnicitet","1.0"
"bäckström","9.0"
"oljeprisfall","1.0"
"statlig","31.0"
"folkrättsexperter","2.0"
"soporna","1.0"
"samtyckeslagstiftning","2.0"
"ensamarbete","1.0"
"transportkunderna","1.0"
"arméstridskrafterna","1.0"
"streck","1.0"
"kompetensbristen","2.0"
"problemställningar","2.0"
"huvudsakligen","3.0"
"eviga","1.0"
"uppehålla","1.0"
"kompetensbrister","1.0"
"investeringen","1.0"
"vägnät","1.0"
"emellan","5.0"
"yrkeshögskoleutbildning","1.0"
"pappers-","1.0"
"subventionera","6.0"
"energipolitiska","1.0"
"oppositionspartierna","3.0"
"utredningsinstrument","1.0"
"strid","21.0"
"edward","22.0"
"statsråd","49.0"
"trafikplatsen","2.0"
"försvunna","1.0"
"patriarkaliska","1.0"
"dra","50.0"
"tillförsikt","6.0"
"presskonferenser","1.0"
"omsättning","1.0"
"medelhavsinstituten","5.0"
"utjämningssystem","2.0"
"rörde","3.0"
"utomordentligt","3.0"
"presskonferensen","1.0"
"vargpopulationen","1.0"
"drk","4.0"
"likvärdig","6.0"
"40 000","5.0"
"frakter","1.0"
"integrationsprocessen","1.0"
"kammaren:","2.0"
"innovationspropositionen","3.0"
"kammaren;","1.0"
"djurförsök","10.0"
"meddebattörer","3.0"
"fattade?","1.0"
"hämtat","1.0"
"begäran","10.0"
"intensivt","9.0"
"lärarlyftet","2.0"
"moderatmotioner","1.0"
"regleringsbrevets","1.0"
"livsmedelsindustrier","2.0"
"bönders","2.0"
"tillämpningsområdet","1.0"
"reglering","22.0"
"narkotikamissbruk","3.0"
"sysselsättningsnivå","1.0"
"effektiveten","1.0"
"ellen","6.0"
"makt","10.0"
"eller","874.0"
"bali","38.0"
"läkarmissionen","1.0"
"peaktider","1.0"
"syftade","2.0"
"stiftelsen","1.0"
"lampans","1.0"
"frivilligorganisationer","1.0"
"biomassa","3.0"
"beviljades","2.0"
"alkoholkontroll","1.0"
"nivåer","25.0"
"född","1.0"
"kammarens","4.0"
"investeringar","133.0"
"stiftelser","1.0"
"nyetablerade","1.0"
"snöröjningen","2.0"
"miljövänliga","5.0"
"västvärldens","1.0"
"utbyten","1.0"
"uppskattar","17.0"
"uppskattat","1.0"
"anspråk","4.0"
"skickats","4.0"
"konstruerar","1.0"
"konstruerat","2.0"
"förbifart","30.0"
"missuppfattade","1.0"
"förgöra","2.0"
"dum","1.0"
"sjöfartsfrågor","1.0"
"fackliga","22.0"
"publiceras","1.0"
"sanktionerna","3.0"
"sammankalla","1.0"
"gmo-politik","1.0"
"skatteförändring;","1.0"
"tillsätter","11.0"
"avsättas","1.0"
"järnvägsutredningarna","1.0"
"skeptisk","3.0"
"frågan?","3.0"
"publicerar","4.0"
"dröjsmål","1.0"
"bevislig","1.0"
"ambassadör","1.0"
"sluttidpunkten","1.0"
"medicinska","2.0"
"<em>statliga","1.0"
"omkring","17.0"
"helikopterorganisationen","1.0"
"bank","3.0"
"man:","3.0"
"kontaktytor","3.0"
"intervjuundersökning","1.0"
"man?","1.0"
"ideologiska","6.0"
"beveragekurvan","1.0"
"band","5.0"
"bana","10.0"
"lönebeloppet","1.0"
"teoretiska","1.0"
"10","11.0"
"talman","1203.0"
"11","1.0"
"600 000","2.0"
"12","17.0"
"13","5.0"
"14","8.0"
"15","24.0"
"16","7.0"
"prioriteringsordningar","1.0"
"malm","22.0"
"17","6.0"
"godtagbar","1.0"
"18","15.0"
"19","4.0"
"ärekränkningar","1.0"
"stöden","3.0"
"samtala","10.0"
"resurstilldelningen","1.0"
"grundläggande","64.0"
"stöder","27.0"
"stödet","30.0"
"tillsattes","7.0"
"bråttom?","1.0"
"ideologiskt","2.0"
"förenade","1.0"
"frågans","1.0"
"infångade","1.0"
"polisreformens","1.0"
"yrkesnära","1.0"
"riksdagspolitiker","1.0"
"göra?","7.0"
"spetskompetens","2.0"
"rättvisare","1.0"
"20","31.0"
"21","8.0"
"motiverades","1.0"
"minnesanteckningar","1.0"
"22","1.0"
"23","8.0"
"24","10.0"
"25","19.0"
"26","3.0"
"27","4.0"
"28","6.0"
"29","3.0"
"göras","78.0"
"förordnas","1.0"
"tredjedelar","2.0"
"göran","9.0"
"tidpunkterna","3.0"
"söker","27.0"
"högskolebehörigheten","1.0"
"natotåget","1.0"
"signalera","2.0"
"styleref","376.0"
"talesperson","3.0"
"företagsidéer","2.0"
"tillägget","1.0"
"trafikproblem","1.0"
"tillägger","1.0"
"talmannen","9.0"
"30","18.0"
"31","5.0"
"epilepsiförbundet","1.0"
"samexistens","1.0"
"32","1.0"
"västra","1.0"
"beskattade","1.0"
"skogsvårdslagen","3.0"
"34","1.0"
"bräcklig","1.0"
"stat","20.0"
"35","2.0"
"etableringsreformen","2.0"
"sjuksyrror","1.0"
"36","1.0"
"variabler","1.0"
"37","1.0"
"38","3.0"
"39","1.0"
"fotoregister","1.0"
"sticker","4.0"
"tummarna","1.0"
"mans","1.0"
"guldläge","3.0"
"avsans","3.0"
"vägförstärkning","1.0"
"stad","10.0"
"misstänksamhet","1.0"
"mana","1.0"
"relationer","13.0"
"frågar:","5.0"
"stab","1.0"
"papperet","3.0"
