"party","M"
"oppositionspartierna","2.0"
"energipolitiska","1.0"
"konkurrenskraftsutredning","1.0"
"skyttegravar","1.0"
"strid","6.0"
"pålitlig","1.0"
"minskat?","1.0"
"edward","3.0"
"statsråd","27.0"
"peakar","2.0"
"voterade","1.0"
"försvunna","1.0"
"dra","33.0"
"tillförsikt","1.0"
"presskonferenser","2.0"
"omsättning","3.0"
"malmö-göteborg-stockholm","1.0"
"anförande:","1.0"
"kommittémotion","1.0"
"medelhavsinstituten","1.0"
"utjämningssystem","1.0"
"statsvetenskapligt","1.0"
"rörde","2.0"
"utomordentligt","4.0"
"presskonferensen","1.0"
"upplysningar","2.0"
"episka","1.0"
"trafikflödet","1.0"
"likvärdig","1.0"
"konjunktur","2.0"
"40 000","6.0"
"vittnesmål","3.0"
"hämtar","2.0"
"hämtat","3.0"
"meddebattörer","1.0"
"intensivt","12.0"
"begäran","3.0"
"kammaren?","2.0"
"passningarna","1.0"
"borrar","1.0"
"sysselsättningsgradsmål","1.0"
"flygbranschens","1.0"
"bönders","1.0"
"jobbreformsvallöften","1.0"
"reglering","3.0"
"uppskattad","1.0"
"delområden","2.0"
"narkotikamissbruk","1.0"
"makt","5.0"
"eller","692.0"
"bali","5.0"
"peaktider","2.0"
"syftade","7.0"
"gudstjänster","1.0"
"stiftelsen","2.0"
"lampans","1.0"
"biomassa","2.0"
"trafikflöde","1.0"
"stressmottagningar","1.0"
"nivåer","14.0"
"född","1.0"
"kammarens","8.0"
"investeringar","44.0"
"sjukaste","1.0"
"statsbudget","3.0"
"stressrelaterade","3.0"
"regleringsbrevet?","1.0"
"föds","1.0"
"västvärldens","1.0"
"miljövänliga","8.0"
"uppskattar","11.0"
"uppskattat","4.0"
"uppskattas","7.0"
"anspråk","4.0"
"normgivande","1.0"
"förbifart","33.0"
"flygbranschen?","1.0"
"utvärderingssystem","2.0"
"fackliga","6.0"
"stödde","1.0"
"sanktionerna","1.0"
"publiceras","1.0"
"kontinuitet","2.0"
"tillsätter","7.0"
"frågan?","10.0"
"teoretiskt","1.0"
"skeptisk","3.0"
"dröjsmål","3.0"
"ambassadör","2.0"
"medicinska","3.0"
"omkring","25.0"
"bank","1.0"
"man:","1.0"
"vansinnig","1.0"
"man?","2.0"
"kompletteringsutbildning","1.0"
"ideologiska","27.0"
"band","2.0"
"bana","4.0"
"10","26.0"
"talman","1022.0"
"600 000","3.0"
"11","3.0"
"12","7.0"
"fraktar","1.0"
"13","16.0"
"medicinskt","2.0"
"mali","1.0"
"14","14.0"
"15","22.0"
"16","13.0"
"17","11.0"
"malm","1.0"
"18","25.0"
"19","11.0"
"samtala","4.0"
"stöden","3.0"
"grundläggande","28.0"
"stöder","7.0"
"stödet","9.0"
"tillsattes","4.0"
"genomfartsleder","1.0"
"ideologiskt","8.0"
"frågans","2.0"
"deprimerade","1.0"
"göra?","6.0"
"spetskompetens","1.0"
"20","43.0"
"21","7.0"
"motiverades","1.0"
"22","9.0"
"minnesanteckningar","1.0"
"23","17.0"
"24","10.0"
"25","34.0"
"26","7.0"
"27","4.0"
"28","7.0"
"göras","47.0"
"välkomnades","1.0"
"göran","18.0"
"tredjedelar","3.0"
"minskar?","2.0"
"överlevnad?","1.0"
"sökes","2.0"
"söker","13.0"
"signalera","1.0"
"styleref","259.0"
"talesperson","12.0"
"smält","1.0"
"tillägger","1.0"
"talmannen","4.0"
"30","47.0"
"31","5.0"
"32","1.0"
"västra","6.0"
"33","5.0"
"mönsterås","1.0"
"34","2.0"
"beskattade","1.0"
"skogsvårdslagen","5.0"
"35","4.0"
"stat","16.0"
"sjuksyrror","1.0"
"variabler","1.0"
"36","1.0"
"partiledare","1.0"
"37","1.0"
"kocklandslag","3.0"
"38","3.0"
"39","1.0"
"sticker","4.0"
"sticket","2.0"
"språkkunskaper","1.0"
"guldläge","9.0"
"stad","33.0"
"misstänksamhet","1.0"
"frågar:","3.0"
"relationer","1.0"
"papperet","2.0"
"höständringsbudget","1.0"
"relationen","5.0"
"stan","1.0"
"stam","1.0"
"40","38.0"
"dyr","5.0"
"knappen","4.0"
"drivande","3.0"
"41","2.0"
"klimatet","13.0"
"42","5.0"
"underrättelseinformation","1.0"
"43","1.0"
"bara","464.0"
"45","3.0"
"avsätter","2.0"
"46","2.0"
"47","1.0"
"48","2.0"
"undervisar","1.0"
"bas?","1.0"
"digitaliserad","3.0"
"isär","5.0"
"samhällsinvesteringar","1.0"
"verksamma","5.0"
"skänktes","1.0"
"våldtäkterna","1.0"
"21 ½","1.0"
"kvinnor","87.0"
"barn","57.0"
"saneringen","3.0"
"december?","1.0"
"etableringsvilja","1.0"
"50","17.0"
"näthandel","1.0"
"53","1.0"
"dörren","16.0"
"54","2.0"
"55","4.0"
"56","1.0"
"57","2.0"
"skid-vm","1.0"
"revisionsrätten","4.0"
"pågår","14.0"
"mängden","2.0"
"berättar:","1.0"
"systembolagsbutikerna","1.0"
"axeltrycket","1.0"
"digitaliserat","1.0"
"1 400","4.0"
"främjande","2.0"
"verklighetsbild","2.0"
"60","21.0"
"09.00","1.0"
"62","1.0"
"välfärd","27.0"
"seminarium","5.0"
"63","1.0"
"64","12.0"
"valfrihet","26.0"
"65","47.0"
"66","1.0"
"67","4.0"
"republiken","5.0"
"69","1.0"
"bekymmer","21.0"
"hittills","11.0"
"refererar","2.0"
"s. 5","1.0"
"utbildningserfarenheter","1.0"
"östros","2.0"
"omskyltningar","1.0"
"friskvårdsavdraget","6.0"
"intresse","29.0"
"stödja","8.0"
"oönskade","2.0"
"70","12.0"
"lagstiftarens","2.0"
"71","2.0"
"s. 3","1.0"
"gehör","3.0"
"74","14.0"
"pojkar","2.0"
"75","5.0"
"76","5.0"
"pensionsavgifterna","1.0"
"övertid","1.0"
"föll","6.0"
"79","1.0"
"länsmuseet","1.0"
"tilläggas","1.0"
"mars","9.0"
"nedgrävda","1.0"
"anstalt","2.0"
"dörrar","5.0"
"historier","1.0"
"marx","4.0"
"skogsbranden","1.0"
"murare","1.0"
"vallöftessvek","1.0"
"dambergs","4.0"
"regionalpolitik","1.0"
"dräglig","2.0"
"publicerad","2.0"
"benägna","2.0"
"skaffar","6.0"
"skynda","5.0"
"steg","51.0"
"historien","7.0"
"skaffat","4.0"
"80","11.0"
"sten","9.0"
"marknadsföras","1.0"
"85","5.0"
"mark","19.0"
"verksamhetsstöd","1.0"
"avmattning","2.0"
"omorganisation","2.0"
"förskolläraren","1.0"
"avtrappning","1.0"
"egenkraft","1.0"
"historisk","1.0"
"trend","4.0"
"utflyttningar","1.0"
"budgetrestriktiv","3.0"
"flertal","5.0"
"handräckande","1.0"
"granskar","1.0"
"föreslås","6.0"
"stig","5.0"
"förebyggande","13.0"
"norrbotniabanan","3.0"
"konsumenten","9.0"
"granskat","1.0"
"fortfarande?","1.0"
"föreslår","57.0"
"granskas","4.0"
"retoriken","6.0"
"ifrågasatte","1.0"
"konsumenter","4.0"
"räckhåll","1.0"
"fortfarande:","1.0"
"bidragshanteringen","3.0"
"seriöst","20.0"
"<em>agenda</em>","1.0"
"jägarexamensregistret","1.0"
"cederbratt","1.0"
"90","22.0"
"91","1.0"
"93","1.0"
"95","3.0"
"spär","1.0"
"mats","4.0"
"interpellationen:","1.0"
"70 000","3.0"
"underentreprenörer","1.0"
"laddstolpar","2.0"
"seriösa","4.0"
"eurostat","1.0"
"inkompetens","1.0"
"staten","89.0"
"strandhälls","1.0"
"släcker","3.0"
"gammalt","5.0"
"tragedier","1.0"
"tvånget","2.0"
"avsatt","4.0"
"tjänstebilar","1.0"
"hämsko","2.0"
"eu-nämnden","5.0"
"obefogad","1.0"
"baltstaterna","1.0"
"51 366","1.0"
"räknats","3.0"
"rapporterade","1.0"
"avgiftsuttagen","1.0"
"följande:","6.0"
"föra","45.0"
"betingat","2.0"
"allmänpolitiska","1.0"
"ensam","7.0"
"fredag","1.0"
"fredas","1.0"
"anpassade","1.0"
"ensat","1.0"
"gammal?","1.0"
"europa","49.0"
"garanterade","1.0"
"pensionskull","1.0"
"planprocesser","1.0"
"hamnstatskontroll","1.0"
"handelspolitik","4.0"
"för?","3.0"
"förvärvsarbetande","1.0"
"opinion","2.0"
"aldrig","65.0"
"fartkamera","1.0"
"stil","1.0"
"finansinspektionen","1.0"
"planprocessen","2.0"
"mörkret","1.0"
"identisk","1.0"
"för-","2.0"
"försäljningen","9.0"
"spår","9.0"
"drydocks","1.0"
