"party","FP"
"könsfördelning","1.0"
"övningen","1.0"
"antisemitiska","1.0"
"fördelar","3.0"
"fördelas","1.0"
"dödas","2.0"
"dödat","1.0"
"västbanken","7.0"
"oprecist","1.0"
"språkkompletterande","1.0"
"it-system","2.0"
"ambitionsnivån","1.0"
"utsedda","1.0"
"konstitutionen","3.0"
"skiljer","7.0"
"bostadskonsumenternas","1.0"
"förvirrar","1.0"
"mötas?","1.0"
"praktiskt","1.0"
"hyra:","1.0"
"regnér","4.0"
"längden","1.0"
"representation","1.0"
"sjukskrivningar?","1.0"
"garantera","2.0"
"estniskt","2.0"
"detaljplaneprocessen","1.0"
"engagerad","1.0"
"stormaktens","1.0"
"praktiska","1.0"
"starkare?","1.0"
"jämna","1.0"
"kvinnan","2.0"
"hälften","14.0"
"ungdoms-","1.0"
"drivmedel","1.0"
"å","2.0"
"nedlagd","2.0"
"engagerar","1.0"
"asien","1.0"
"nyfiken","2.0"
"98,8","1.0"
"york-system","1.0"
"kollektivtrafik","8.0"
"jobbperspektivet","1.0"
"förbättringar","2.0"
"landstingen","4.0"
"frågade","3.0"
"resumé","1.0"
"konstitutioner","1.0"
"verkliga","1.0"
"utvärdera","4.0"
"ordet","1.0"
"grunder","2.0"
"kommunalt","13.0"
"grunden","18.0"
"föreslagna","1.0"
"löna","2.0"
"kakabaveh","2.0"
"jordbruket","2.0"
"lyckorike","1.0"
"besjälade","1.0"
"ardalan","2.0"
"sifforna","1.0"
"reformen","4.0"
"orden","1.0"
"omfördelning","1.0"
"reformer","12.0"
"tyvärr","27.0"
"pensionsgruppens","1.0"
"personligen","6.0"
"pressen","1.0"
"stolthet","2.0"
"kontrollerade","1.0"
"hillevi","10.0"
"shingal/sinjar","1.0"
"reform","5.0"
"nöjer","1.0"
"kommunala","12.0"
"huvudfrågor","1.0"
"oacceptabel","1.0"
"blåser","1.0"
"anar","1.0"
"rimlig","3.0"
"betalning","1.0"
"statistiken","6.0"
"jämställdhetsglasögonen","3.0"
"homosexuella","1.0"
"coach","1.0"
"kontra","1.0"
"utredningarna","1.0"
"högteknologisk","2.0"
"fattig","1.0"
"bildas","1.0"
"kolonialism","1.0"
"lång","21.0"
"kameraövervakningslagen","1.0"
"tog","21.0"
"ton","1.0"
"jämvikt","1.0"
"nederländerna","1.0"
"naivt?","1.0"
"gott","7.0"
"arbetstillfällen","1.0"
"bosättare","1.0"
"kaplan","18.0"
"flygkapacitet","1.0"
"sabuni","1.0"
"förhastat","1.0"
"nöjda","2.0"
"flygplatser","31.0"
"reellt","2.0"
"flygplatsen","5.0"
"investeringsmedlen","1.0"
"målgrupp","1.0"
"långsökt","1.0"
"framhåller","1.0"
"satt","11.0"
"lunginflammation","1.0"
"välmående","1.0"
"cop","2.0"
"grödor","2.0"
"händelse","4.0"
"scb:s","1.0"
"yrkesutbildningarna","2.0"
"demokratiserad","1.0"
"statsministern:","1.0"
"försvarsutskottets","1.0"
"vantarna","1.0"
"hänger","9.0"
"sammantaget","1.0"
"utelämnar","1.0"
"grundar","1.0"
"påläst","1.0"
"pinsamt","1.0"
"relaterar","2.0"
"agerar","12.0"
"tre","19.0"
"arbetar","6.0"
"arbetat","1.0"
"nyttigt","1.0"
"al-einen","1.0"
"representativt","2.0"
"diktaturregim","1.0"
"tro","14.0"
"övervakningen","1.0"
"200","3.0"
"ekonomin","13.0"
"uttalade","5.0"
"valmanifest","1.0"
"trygghet","3.0"
"206","1.0"
"handlade","17.0"
"hyresgäster","2.0"
"huvudparten","1.0"
"tendenser","1.0"
"ungdomsjobben","1.0"
"bakgrunden","11.0"
"bifallas","1.0"
"skadade","1.0"
"universitetskompetenta","2.0"
"210","1.0"
"utgick","1.0"
"bedömningarna","1.0"
"totala","1.0"
"bilder","1.0"
"miljöpartistisk","1.0"
"bilden","8.0"
"löst","2.0"
"väsentligt","1.0"
"modigare","1.0"
"kvinnodiskriminerande","1.0"
"frysa","1.0"
"konkreta?","1.0"
"lösa","19.0"
"nämligen","51.0"
"linux-startup-rörelsen","1.0"
"tredje","6.0"
"uppemot","3.0"
"analys","5.0"
"totalt","8.0"
"anslutit","1.0"
"bemärkelsen","4.0"
"stöttar","1.0"
"tv:","1.0"
"22;","1.0"
"nästan","17.0"
"insatsgrupper","1.0"
"capita","1.0"
"diskussionerna","3.0"
"omprövningsprocesser","1.0"
"återfå","1.0"
"rådande","1.0"
"avsan","1.0"
"japan","1.0"
"begär","3.0"
"subsidiaritetsprincipen","2.0"
"sprungit","1.0"
"avveckla","1.0"
"kritiserade","1.0"
"tur","2.0"
"uttrycka","3.0"
"gången","9.0"
"låta","9.0"
"innerligt","2.0"
"jorden","3.0"
"bostäder","44.0"
"samråd","2.0"
"gånger","14.0"
"237","2.0"
"nineveslätten","2.0"
"transatlantiska","2.0"
"förhandlingslösning","1.0"
"arbetsförmedlingens","6.0"
"landsbygd","1.0"
"välkomnade","1.0"
"efterlyser","11.0"
"anstalter","1.0"
"uppmärksamma","2.0"
"nödvändigt","3.0"
"återgå","4.0"
"byggts","1.0"
"ohälsa","1.0"
"begås","2.0"
"flygbranschen","1.0"
"1,1 miljon","1.0"
"arbetsförmedlingen?","1.0"
"motsvarande","4.0"
"hyresnivåerna","3.0"
"utredningens","1.0"
"pisa","1.0"
"tioveckorsregeln","2.0"
"00-talet","1.0"
"stenen","1.0"
"tioårsperiod","1.0"
"bromsande","1.0"
"polisregion","1.0"
"rimligare","1.0"
"förmiddagen","1.0"
"nyligen","9.0"
"avpolitisera","1.0"
"skyldighet","3.0"
"bransch","2.0"
"statsministerns","3.0"
"moment","3.0"
"övervägt","1.0"
"kommunchefer","1.0"
"attack","1.0"
"låtit","1.0"
"styrkas","1.0"
"västmanlands","1.0"
"regerade","1.0"
"flyg","2.0"
"ursprungsbefolkning","1.0"
"laglig","1.0"
"tillstå","2.0"
"folkgrupperna","2.0"
"reepalu","1.0"
"flyr","1.0"
"fallit","2.0"
"dagligen","1.0"
"fn:s","2.0"
"vänsterpartistisk","1.0"
"syftet","7.0"
"fattat","6.0"
"lyder:","1.0"
"skolenheternas","1.0"
"fattas","3.0"
"kristna","7.0"
"fattar","1.0"
"andersson","21.0"
"betyget:","1.0"
"ledningen","3.0"
"artiklar","1.0"
"uttryckt","3.0"
"förstörde","1.0"
"diskussionen","13.0"
"lämnas","1.0"
"lämnar","14.0"
"veterligen","1.0"
"diskussioner","6.0"
"lämnat","1.0"
"typ","9.0"
"ungdomar","16.0"
"anna","1.0"
"myndighetsdialog","2.0"
"skoltrötthet","1.0"
"budget","11.0"
"släpper","3.0"
"två","58.0"
"frågestund","1.0"
"10 000","3.0"
"inskriven","1.0"
"tolkar","4.0"
"universitetsbehörighet","1.0"
"mångt","2.0"
"heliga","2.0"
"tolkas","2.0"
"bistånd","6.0"
"ofta","17.0"
"stenar","1.0"
"orimlig","1.0"
"stalkning","6.0"
"partivän","1.0"
"pröva","2.0"
"till?","3.0"
"framgångsrecept","1.0"
"önskemål","2.0"
"näringslivsklimatet","1.0"
"skönmålar","1.0"
"bashar","1.0"
"avvecklas","6.0"
"fritidsförvaltning","1.0"
"undermineras","1.0"
"hammarby","1.0"
"konfiskationen","1.0"
"avvecklar","1.0"
"totalitära","1.0"
"äntligen","1.0"
"träd","1.0"
"290","6.0"
"molekylära","1.0"
"tills","1.0"
"regeringskansliet","5.0"
"omval","1.0"
"house","1.0"
"halka","3.0"
"omvandlas","1.0"
"religiös","1.0"
"tankesätt","1.0"
"stark","11.0"
"presidenten","4.0"
"traineejobben","1.0"
"många","141.0"
"effekterna","3.0"
"sfi-peng","2.0"
"beaktas","1.0"
"radikaliserade","1.0"
"start","7.0"
"förhandla","2.0"
"uttolka","1.0"
"folket","9.0"
"rullade","1.0"
"starta","7.0"
"fallen","3.0"
"analysera","2.0"
"signalerna","3.0"
"kvaliteten","6.0"
"it-området","1.0"
"understiger","1.0"
"fallet","10.0"
"befolkningen","11.0"
"eu-uttalande","1.0"
"formell","2.0"
"domkyrka","1.0"
"undra","1.0"
"faller","2.0"
"ar-raqqa","2.0"
"smått","2.0"
"landstinget","1.0"
"samspel","1.0"
"professionellt","2.0"
"kraftigt","7.0"
"träffa","2.0"
"vaknar","1.0"
"skolfrågor:","1.0"
"socialtjänst","1.0"
"rekryteringen","6.0"
"innehar","1.0"
"direktiv?","1.0"
"professionella","1.0"
"jobbfråga","1.0"
"huvudfråga:","1.0"
"annars","9.0"
"kraftiga","1.0"
"bostadsproduktionens","1.0"
"tråd","1.0"
"personers","1.0"
"brottsligheten","3.0"
"museiutredningen","1.0"
"repövningar","2.0"
"reaktionerna","1.0"
"myndighetens","4.0"
"fördelen","1.0"
"kontexter","1.0"
"övergrepp","2.0"
"införa","16.0"
"miljonerna","1.0"
"såvitt","1.0"
"införd","2.0"
"sätesort","1.0"
"anti","2.0"
"lärarlegitimationen","1.0"
"infört","2.0"
"ministerstyre","2.0"
"röstar","2.0"
"förmodar","1.0"
"diskussion","10.0"
"fronterna","2.0"
"inför?","1.0"
"hr-avdelning","1.0"
"anta","3.0"
"stockholms","10.0"
"hjälper","4.0"
"signalerar","1.0"
"icke-betald","1.0"
"formulerar","1.0"
"hävningen","1.0"
"myndigheten?","1.0"
"formulerat","1.0"
"styrning","5.0"
"försvarsdebatt","1.0"
"studenterna","1.0"
"dag","109.0"
"trafikslagen","1.0"
"dan","1.0"
"tillhörighet","1.0"
"bibehålla","1.0"
"jordar","1.0"
"day","1.0"
"kommunistregimen","2.0"
"afrikanska","1.0"
"praktik","6.0"
"formfrågan","1.0"
"ygemans","2.0"
"monica","1.0"
"statsförvaltningen","1.0"
"överväga","2.0"
"personens","1.0"
"folkmord?","1.0"
"kubapolitiken","1.0"
"brådskande","1.0"
"underlätta","8.0"
"bloggare","1.0"
"berörd","1.0"
"pågått","2.0"
"strandlinje","2.0"
"färg","3.0"
"saken","1.0"
"rösten","2.0"
"saker","20.0"
"berört","1.0"
"berörs","2.0"
"förstöras","1.0"
"klarlägga","1.0"
"gymnasiestudierna","1.0"
"klimatförbättringar","1.0"
"mannens","1.0"
"årskullen","1.0"
"röster","3.0"
"urbanisering","1.0"
"minimistraffet","2.0"
"begått","4.0"
"mikael","1.0"
"tänkbar","1.0"
"skydd","3.0"
"bolagskvotering","1.0"
"suttit","2.0"
"startups","1.0"
"peking","2.0"
"socialförsäkringsförändringar","1.0"
"syftar","4.0"
"slutprodukten","1.0"
"anstränga","1.0"
"omfattning","2.0"
"ansträngd","2.0"
"pressfriheten","2.0"
"generaldirektörens","1.0"
"del","92.0"
"rimmar","2.0"
"decentralisera","1.0"
"den","889.0"
"dem","92.0"
"beskattningsinstrumentet","1.0"
"det","3046.0"
"42 500","3.0"
"fastigheten","1.0"
"fastigheter","2.0"
"fattigdom","2.0"
"intervju","1.0"
"kortare?","1.0"
"lågstadium","1.0"
"säkerställa","3.0"
"längtan","1.0"
"fördela","1.0"
"stipuleras","1.0"
"längtar","1.0"
"stads","1.0"
"inför","9.0"
"styrkor","2.0"
"västeuropa","2.0"
"byggde","2.0"
"kriser","1.0"
"presenterades","1.0"
"kommunförbundet","1.0"
"säkerställs","1.0"
"krisen","2.0"
"landstings","1.0"
"hindren","1.0"
"ubåtsjakthelikopter","1.0"
"grenen","1.0"
"delarna","5.0"
"gripanden","1.0"
"nödvändig","2.0"
"protokollet","1.0"
"15-20","1.0"
"transparens","2.0"
"oppositionspolitik","1.0"
"(applåder)","1.0"
"hotet","1.0"
"tidigare","65.0"
"förrän","1.0"
"fackförbundet?","1.0"
"säger","117.0"
"implementering","1.0"
"bra?","2.0"
"korta","4.0"
"gruppens","1.0"
"bostäder?","1.0"
"hälsning","1.0"
"kommentera","3.0"
"bygger","20.0"
"bygget","6.0"
"obetalt","2.0"
"partistyrelse","1.0"
"transporter","3.0"
"närvarande","6.0"
"fattades","5.0"
"åsikter","2.0"
"sinjar","1.0"
"under","104.0"
"ledstjärnan","1.0"
"något","122.0"
"dig","7.0"
"tolerans","1.0"
"anvisning","1.0"
"undersköterskor","4.0"
"förhållningssätt","1.0"
"träden","1.0"
"mellan","39.0"
"din","8.0"
"exilkubansk","1.0"
"förhandlade","3.0"
"dit","10.0"
"terrorister","3.0"
"företagande","9.0"
"säga:","3.0"
"vägrar","2.0"
"dygnet","1.0"
"yazidikurder","1.0"
"enats","1.0"
"fyllt","1.0"
"någon","83.0"
"lagskärpningar","1.0"
"undersöka","5.0"
"sökte","1.0"
"omgivande","1.0"
"strax","1.0"
"stormakterna","2.0"
"förändring","5.0"
"utländsk","1.0"
"hotat","1.0"
"lågavlönade","1.0"
"innebär","53.0"
"sudda","1.0"
"berövas","1.0"
"traditionell","2.0"
"lågmälda","1.0"
"hindrat","1.0"
"obehöriga","1.0"
"hindrar","5.0"
"hindras","1.0"
"ipadar","1.0"
"bred","3.0"
"anita","1.0"
"studentexamen","1.0"
"bilproducenterna","1.0"
"hitlers","1.0"
"back","1.0"
"stater","4.0"
"menade","2.0"
"värdkommunen","1.0"
"kunskapskraven","1.0"
"hotas","4.0"
"hotar","3.0"
"släppts","1.0"
"skattehöjningarna","1.0"
"sägas","1.0"
"utvecklingshämmande","1.0"
"biståndet","2.0"
"lastfartyg","1.0"
"stimulera","1.0"
"skuldra","2.0"
"översyn","5.0"
"platserna","1.0"
"tveksamheter","1.0"
"opinionsbilda","1.0"
"riskpremie","1.0"
"eriksson","1.0"
"frågor","69.0"
"omvärldsutvecklingen","2.0"
"ung","1.0"
"hjälpas","1.0"
"intagit","1.0"
"areal","1.0"
"eu-länder","3.0"
"grann","9.0"
"partis","1.0"
"majoritet","13.0"
"fylla","1.0"
"undan","9.0"
"begärde","1.0"
"suzanne","1.0"
"församlingarna","2.0"
"miljöerna","1.0"
"samplaneringen","1.0"
"riktade","1.0"
"orter","10.0"
"tioårsperioden","1.0"
"övertrumfa","1.0"
"erbjuder","4.0"
"text","3.0"
"begravning","1.0"
"kommungräns","1.0"
"alliansregeringen","28.0"
"vinstintresse","1.0"
"snabbutredning","1.0"
"ansats","2.0"
"upp","135.0"
"berättade","5.0"
"johan","2.0"
"givande","1.0"
"parkstad?","1.0"
"status","2.0"
"ansöker","1.0"
"räknade","1.0"
"brott","20.0"
"några","71.0"
"recensera","1.0"
"produktivt","1.0"
"unionen","13.0"
"begåvats","1.0"
"bäckström","2.0"
"jämställdhetsministern","2.0"
"statlig","9.0"
"klar","4.0"
"starkaste","2.0"
"motsatt","1.0"
"bifall","1.0"
"premiepensionsdelen","1.0"
"hyresfastigheter","1.0"
"vräkta","2.0"
"beställning","3.0"
"emellan","1.0"
"ut?","1.0"
"usa","14.0"
"strid","2.0"
"optimismen","1.0"
"statsråd","10.0"
"½ miljard","1.0"
"månad","1.0"
"dra","14.0"
"utomordentligt","1.0"
"imponerat","1.0"
"gällande","5.0"
"huvudförklaringen","1.0"
"upplysningar","1.0"
"arlanda","9.0"
"bostadsbolag","1.0"
"inriktad","1.0"
"40 000","3.0"
"förmögenhetsmassa","1.0"
"ute","21.0"
"simulerat","1.0"
"hämtar","2.0"
"kammaren?","1.0"
"lärarlyftet","1.0"
"begäran","1.0"
"borrar","3.0"
"flygbranschens","1.0"
"ferms","1.0"
"civilorganisationer","1.0"
"alliansregeringar","1.0"
"ansökan","3.0"
"operativ","1.0"
"paradigm","1.0"
"bakr","3.0"
"du:","1.0"
"försvarspolitiken","2.0"
"enpartisystem","1.0"
"makt","9.0"
"eller","241.0"
"samplanering","2.0"
"låter","5.0"
"stiftelsen","1.0"
"syftade","1.0"
"samförståndsavtal","1.0"
"bestående","1.0"
"frivilligorganisationer","1.0"
"klev","1.0"
"nivåer","3.0"
"investeringar","4.0"
"statsbudget","3.0"
"försvarsproposition","2.0"
"skedde","3.0"
"bakåtlutande:","1.0"
"banan","1.0"
"fas 3:are","1.0"
"uppskattat","1.0"
"uppskattas","1.0"
"anspråk","1.0"
"förbifart","8.0"
"klen","1.0"
"fackliga","2.0"
"stödde","2.0"
"sanktionerna","3.0"
"vapenanvändning","1.0"
"ursprungliga","1.0"
"avsättas","2.0"
"tillsätter","4.0"
"frågan?","1.0"
"teoretiskt","1.0"
"skeptisk","2.0"
"betydligt","7.0"
"ambassadör","1.0"
"medicinska","2.0"
"48 000","1.0"
"omkring","1.0"
"språk","1.0"
"protesterade","1.0"
"invänder","1.0"
"man:","1.0"
"vansinnig","1.0"
"ideologiska","2.0"
"föga","1.0"
"ungdomsbrottsligheten","1.0"
"mottagande","1.0"
"teoretiska","5.0"
"10","6.0"
"fallujah","1.0"
"talman","286.0"
"11","1.0"
"12","1.0"
"13","2.0"
"14","1.0"
"15","6.0"
"debattartikel","1.0"
"16","2.0"
"delar?","1.0"
"inrikes","2.0"
"malm","3.0"
"17","3.0"
"godtagbar","1.0"
"inspektioner","1.0"
"mall","2.0"
"18","6.0"
"avsan;","1.0"
"grundläggande","6.0"
"stöder","6.0"
"beakta","3.0"
"stödet","8.0"
"fn-stadgan","1.0"
"arrestera","2.0"
"tillsattes","1.0"
"ideologiskt","1.0"
"baghdadi","1.0"
"yrkesnära","1.0"
"göra?","2.0"
"20","9.0"
"byggandet","8.0"
"22","3.0"
"23","1.0"
"arbetsmarknadsdepartementets","1.0"
"25","2.0"
"bötesbrott","3.0"
"27","1.0"
"28","1.0"
"göras","6.0"
"hr-avdelningar","1.0"
"svepande","2.0"
"göran","1.0"
"ingrepp","1.0"
"söker","11.0"
"upprördes","1.0"
"styleref","79.0"
"kust-","1.0"
"talesperson","1.0"
"industri","3.0"
"30","3.0"
"västra","2.0"
"35","1.0"
"stat","13.0"
"etableringsreformen","5.0"
"variabler","1.0"
"partiledare","1.0"
"38","1.0"
"39","1.0"
"språkkunskaper","1.0"
"stad","2.0"
"ingår","4.0"
"relationer","8.0"
"lågstadiet","3.0"
"reglerna","1.0"
"relationen","1.0"
"examina","1.0"
"vapenlagstiftningen","1.0"
"kliv","1.0"
"drivande","1.0"
"40","6.0"
"klimatet","1.0"
"osloprocessen","1.0"
"43","1.0"
"bara","120.0"
"mamma","1.0"
"46","1.0"
"undervisar","2.0"
"varandra?","1.0"
"verksamma","1.0"
"subjekt","1.0"
"kvinnor","70.0"
"dadgostar","1.0"
"helhet","3.0"
"redaktörer","2.0"
"barn","13.0"
"flygverksamhet","1.0"
"gemensam","4.0"
"december:","1.0"
"förflyttningar","1.0"
"50","11.0"
"53","1.0"
"skolkommissionens","1.0"
"54","1.0"
"pressad","1.0"
"pågår","12.0"
"<em>riksdagens</em>","1.0"
"blanche","1.0"
"tecken","2.0"
"näringsverksamhet","2.0"
"60","7.0"
"skrivning","1.0"
"medborgare","5.0"
"61","1.0"
"62","1.0"
"välfärd","10.0"
"valfrihet","1.0"
"65","5.0"
"bullerregelverket","4.0"
"69","1.0"
"etableringsreformens","1.0"
"bekymmer","7.0"
"hittills","3.0"
"autentisk?","1.0"
"baklås","1.0"
"processen?","1.0"
"klok","4.0"
"matematik","3.0"
"intresse","13.0"
"pragmatiska","1.0"
"boendemiljöer","1.0"
"stödja","19.0"
"föranleder","3.0"
"förut:","1.0"
"personalförsörjningen","4.0"
"70","4.0"
"offentligheten","1.0"
"finns","284.0"
"75","5.0"
"föll","2.0"
"mandatperiod","5.0"
"överväganden","3.0"
"vetot","1.0"
"mars","1.0"
"tilläggas","1.0"
"anstalt","1.0"
"agera","10.0"
"judisk","1.0"
"veton","1.0"
"innovationsupphandlingar","3.0"
"rättsväsendet","1.0"
"externa","1.0"
"dräglig","1.0"
"interreligiös","1.0"
"eu-minister","5.0"
"skynda","2.0"
"steg","14.0"
"historien","5.0"
"80","1.0"
"tillkommer","2.0"
"landsbygdsdepartementet","3.0"
"sten","4.0"
"mark","6.0"
"86","1.0"
"auktoritära","5.0"
"omorganisation","1.0"
"upprörande","4.0"
"ohlsson","3.0"
"kostnaden","3.0"
"rekord","1.0"
"historisk","2.0"
"obetalda","1.0"
"granskar","1.0"
"förebyggande","9.0"
"stig","1.0"
"konsumenten","3.0"
"föreslår","4.0"
"granskas","1.0"
"stämplade","1.0"
"kostnader","4.0"
"konsumenter","3.0"
"dessvärre","2.0"
"90","4.0"
"vad","236.0"
"strandskyddsreglerna?","2.0"
"incheckning","1.0"
"misstänkt","4.0"
"val","6.0"
"mats","5.0"
"70 000","2.0"
"livsmedelsorgan","2.0"
"verksamhet","21.0"
"synonymer","1.0"
"entledigades","1.0"
"detaljplaner","1.0"
"var","247.0"
"eu-reglerna","1.0"
"inkomsterna","1.0"
"misstänka","2.0"
"skriva","1.0"
"bindande","1.0"
"denna","77.0"
"staten","41.0"
"finna","2.0"
"förberedde","1.0"
"lokalpatriotisk","1.0"
"pensionspengarna","1.0"
"förberedda","1.0"
"västerut","1.0"
"floder","1.0"
"eu-nämnden","1.0"
"interpellationen?","1.0"
"love","1.0"
"flyttar","1.0"
"flyttas","3.0"
"räknats","1.0"
"bryr","1.0"
"genomtänkta","1.0"
"fredad","1.0"
"följande:","3.0"
"föra","10.0"
"papperslösa","1.0"
"allmänpolitiska","1.0"
"sundström","2.0"
"tacksam","2.0"
"ensam","1.0"
"stränghet","1.0"
"lova","1.0"
"framhölls","1.0"
"anpassade","1.0"
"kvinnoföreningen","1.0"
"slavmarknader","1.0"
"europa","25.0"
"eftermiddagen","3.0"
"för?","1.0"
"aldrig","21.0"
"lyssnat","4.0"
"terrororganisation","2.0"
"bebyggd","1.0"
"planprocessen","7.0"
"lyssnar","4.0"
"tilltro","2.0"
"för-","1.0"
"tillkommit","1.0"
"spår","4.0"
"köksknivar","1.0"
"rehabiliteringsinsatser","1.0"
"demografin","1.0"
"straffsatser","1.0"
"plötsligt","4.0"
"lokalkontor","1.0"
"straffskärpning","1.0"
"hyresgästföreningens","1.0"
"bostadsfråga","2.0"
"spela","1.0"
"israeliska","2.0"
"vem","19.0"
"utrensningar","2.0"
"banor","1.0"
"tioårig","5.0"
"förr","3.0"
"förs","3.0"
"vet","58.0"
"förekomma","1.0"
"specialistsjuksköterska","1.0"
"vistelseorter","1.0"
"anledning","11.0"
"snålblåst","2.0"
"revision","1.0"
"före","19.0"
"skolinspektion","4.0"
"aggregerad","2.0"
"knivar:","1.0"
"etableringsplan","1.0"
"utövande","1.0"
"stod","7.0"
"friskolornas","1.0"
"diskriminering","2.0"
"aktörernas","1.0"
"fått","29.0"
"redogörelse","1.0"
"hennes","4.0"
"företeelsen","1.0"
"innebörden","1.0"
"gymnasiepolitik","1.0"
"klimatmålen","1.0"
"begärt","1.0"
"karaktären","1.0"
"martyr","1.0"
"begåtts","2.0"
"fördelningen","3.0"
"stephen","1.0"
"anders","7.0"
"frågan:","7.0"
"begära","1.0"
"indien","1.0"
"glesast","1.0"
"byggas","2.0"
"jobbtillväxten","2.0"
"gemensamma","18.0"
"kjell-olof","1.0"
"osäkerhet","12.0"
"avveckling","1.0"
"liberala","3.0"
"fritidsprogrammet","1.0"
"fridolin","20.0"
"realistisk","2.0"
"marknadsföra","1.0"
"via","10.0"
"vid","49.0"
"råd","4.0"
"protesterats","1.0"
"introduktion","1.0"
"liberalt","1.0"
"avtecknar","1.0"
"databaser.","1.0"
"konstaterades","1.0"
"farhågan","1.0"
"liberaler","2.0"
"vis","3.0"
"ägarlägenheterna","1.0"
"familjer","1.0"
"innan","22.0"
"visst","3.0"
"djärvt","1.0"
"stor","38.0"
"precisera","2.0"
"försökte","1.0"
"utrikesfödda","1.0"
"36 000","1.0"
"häpnadsväckande","1.0"
"privata","13.0"
"klasser","1.0"
"större","25.0"
"följdiskussion","1.0"
"centrum","2.0"
"spritt","2.0"
"fn-konventioner","4.0"
"familjen","1.0"
"jämlikhet","1.0"
"ledning?","1.0"
"wikipedia","1.0"
"väg?","1.0"
"domarna","1.0"
"ned?","2.0"
"snarlikt","1.0"
"stund","2.0"
"främmande","1.0"
"sossar","1.0"
"nyansera","1.0"
"mappade","1.0"
"kvotering","2.0"
"svennebananer","1.0"
"störst","2.0"
"angelägna","3.0"
"tvekan","1.0"
"oppositionsroll","1.0"
"citerar:","1.0"
"praktikplatser","3.0"
"framgång","2.0"
"nedrustningsinitiativ","1.0"
"totalförsvarsplikt","1.0"
"bekymrade","1.0"
"museer","5.0"
"demonstrerade","1.0"
"dyka","1.0"
"tillsättningen","1.0"
"rättvisande","2.0"
"tvungen","2.0"
"wallström","3.0"
"trängda","1.0"
"eko","1.0"
"replikskifte","1.0"
"fullvärdig","1.0"
"utflyttningen","1.0"
"beslutades","2.0"
"värdet","1.0"
"värden","1.0"
"samförståndsavtalet","5.0"
"vägs","1.0"
"minister","3.0"
"försvarsdepartementet","1.0"
"proportioner","1.0"
"marknaderna","1.0"
"effekt","6.0"
"väga","2.0"
"hemlighet","4.0"
"utomstående","4.0"
"visor","1.0"
"flytta","9.0"
"träsk-sången","1.0"
"vedertagen","1.0"
"uppfatta","2.0"
"inblandade","1.0"
"egenskap","4.0"
"ägarlägenheter?","1.0"
"partipolitiskt","1.0"
"stränderna","1.0"
"trafikverkets","1.0"
"demokrati-rörelse","1.0"
"ogiltigförklarande","1.0"
"tagit","16.0"
"ena","18.0"
"utbildningsministern","12.0"
"vissa","25.0"
"värdig","1.0"
"bryter","3.0"
