"party","KD"
"framgångar","1.0"
"huvud","6.0"
"svagheter","2.0"
"jeppsson","1.0"
"påtalar","3.0"
"bredvid","1.0"
"påtalas","1.0"
"övningen","2.0"
"engelska","1.0"
"kultursamverkansmodell","1.0"
"specialister","1.0"
"antisemitiska","1.0"
"fördelar","1.0"
"skapat","3.0"
"väckarklocka","1.0"
"survivors","1.0"
"fördelas","1.0"
"skapar","6.0"
"västbanken","1.0"
"löntagare","1.0"
"förvirrad","1.0"
"anställningstillfället","1.0"
"trevligt","1.0"
"anonyma","1.0"
"skiljer","1.0"
"hushållsservice","1.0"
"självkänslan","1.0"
"praktiskt","2.0"
"normaliseringens","1.0"
"kontakt","1.0"
"insatsorganisationen","2.0"
"seminariet","1.0"
"dolda","1.0"
"längden","1.0"
"engagerad","1.0"
"freden","1.0"
"praktiska","2.0"
"etableringsuppdraget","1.0"
"sjunger","1.0"
"återinför","1.0"
"förlängt","1.0"
"kvinnan","1.0"
"krafternas","1.0"
"samman","6.0"
"hälften","2.0"
"gmo-frågor","1.0"
"trevliga","1.0"
"engagerat","2.0"
"lovat","1.0"
"korruption","2.0"
"gör","44.0"
"halvtimme","2.0"
"omvända","1.0"
"å","2.0"
"nedlagd","1.0"
"förundras","1.0"
"energi","2.0"
"såldes","1.0"
"vinstbegränsning","1.0"
"har?","1.0"
"verket","1.0"
"avviker","1.0"
"sjukvårdsenhet","1.0"
"handling","5.0"
"frågade","1.0"
"ursprung","1.0"
"fiskaren","2.0"
"strategin?","1.0"
"ordet","1.0"
"utvärdera","1.0"
"politikområde","1.0"
"grunder","4.0"
"grunden","7.0"
"föreslagna","4.0"
"löna","1.0"
"asylsystem","1.0"
"rutin","1.0"
"butiker","1.0"
"praktiken","1.0"
"investeringsrisker","1.0"
"jordbruket","1.0"
"skåning","1.0"
"uppmärksammades","1.0"
"utställningarna","1.0"
"södra","3.0"
"maktpositioner","1.0"
"7 000","1.0"
"orden","2.0"
"problemet?","1.0"
"asylprövning","2.0"
"ideologisk","1.0"
"dygder","2.0"
"rättegångsförhandlingen","1.0"
"marknad","3.0"
"uppgörelse","1.0"
"tyvärr","15.0"
"beslut?","1.0"
"personligen","1.0"
"byta","1.0"
"kontrollerade","1.0"
"norge","6.0"
"hillevi","1.0"
"kommunala","1.0"
"försämra","3.0"
"rimlig","1.0"
"skoltrött","2.0"
"slyröjning","1.0"
"konkurrensbegränsande","1.0"
"varsel","1.0"
"knarkhandlare","1.0"
"tränga","1.0"
"bildar","1.0"
"besluta","2.0"
"seger","2.0"
"lång","6.0"
"reella","1.0"
"bornholmsresenärernas","1.0"
"trygghetszon","1.0"
"tog","9.0"
"widman","5.0"
"entrén","1.0"
"politikområden","1.0"
"nederländerna","2.0"
"pina","1.0"
"gott","3.0"
"arbetstillfällen","10.0"
"jobbet?","1.0"
"barnfamiljers","1.0"
"vanliga","1.0"
"statsstödsreglerna","1.0"
"sabuni","1.0"
"flygplatser","3.0"
"flygplatsen","3.0"
"ideell","3.0"
"trots","11.0"
"premier","2.0"
"symbolpolitiska","1.0"
"medelklasscouter","1.0"
"lohman","1.0"
"vägledande","1.0"
"konton","2.0"
"krister","1.0"
"vädjar","1.0"
"lavinartat","1.0"
"minsta","1.0"
"flygbolaget","1.0"
"satt","2.0"
"budskapet","1.0"
"göteborgs","1.0"
"projekt","2.0"
"förrförra","1.0"
"mjölkbonde","3.0"
"påverkat","1.0"
"scania","1.0"
"lett","1.0"
"livrädda","1.0"
"uppgivits","1.0"
"reformera","2.0"
"lag","3.0"
"utsträckta","1.0"
"påverkas","3.0"
"försvarsfrågor","1.0"
"påverkar","3.0"
"hänger","2.0"
"sammantaget","1.0"
"uppfyller","2.0"
"upp?","1.0"
"påverkan","2.0"
"tre","14.0"
"minns","1.0"
"agerat","3.0"
"inspektion","3.0"
"arbetar","1.0"
"förhala","1.0"
"besvara","1.0"
"tro","3.0"
"200","1.0"
"ekonomin","2.0"
"valmanifest","1.0"
"bakgrunder","1.0"
"skattereduktion","1.0"
"olidlig","1.0"
"försörja","1.0"
"prissänkningar","1.0"
"pusselbitar","1.0"
"räkningarna","1.0"
"sexuella","1.0"
"avstanna","1.0"
"bakgrunden","4.0"
"mattan","1.0"
"internationella","5.0"
"panzis","1.0"
"klarare","1.0"
"beskrevs","1.0"
"prognostiserar","1.0"
"leva","9.0"
"215","1.0"
"bilder","1.0"
"möjligt","13.0"
"sexuellt","1.0"
"bilden","2.0"
"löst","1.0"
"förändrats","1.0"
"väsentligt","1.0"
"odlar","1.0"
"e65","2.0"
"uppe","7.0"
"tjänsterna","3.0"
"frysa","1.0"
"skyldig","2.0"
"inhouseverksamhet","1.0"
"försvarsberedningen","1.0"
"bosniska","1.0"
"lösa","8.0"
"bristerna","1.0"
"luften","2.0"
"nämligen","14.0"
"släpptes","1.0"
"tredje","6.0"
"analys","1.0"
"uppemot","1.0"
"basutbudet","1.0"
"totalt","1.0"
"anslutit","1.0"
"patienter","1.0"
"årsanställd","1.0"
"noterades","1.0"
"tvingas","1.0"
"nästan","6.0"
"capita","1.0"
"ensamt","1.0"
"led","1.0"
"fiskarna","5.0"
"avveckla","1.0"
"redan","23.0"
"2000-områden","1.0"
"samhällsfunktioner","2.0"
"gången","4.0"
"låta","2.0"
"innerligt","2.0"
"bostäder","13.0"
"gånger","8.0"
"köpenhamnsområdet","1.0"
"välbehövlig","2.0"
"landsbygd","3.0"
"arbetsförmedlingens","2.0"
"dock","15.0"
"aviseras","1.0"
"betyder","4.0"
"aviserar","2.0"
"internationellt","5.0"
"nödvändigt","4.0"
"danskar","1.0"
"ohälsa","1.0"
"ärendet","1.0"
"begår","1.0"
"inkräktar","1.0"
"lyfter","1.0"
"avkastning","2.0"
"lyftes","1.0"
"hållning","6.0"
"motsvarande","2.0"
"varierar;","1.0"
"tiden?","1.0"
"beröva","1.0"
"historieböcker","3.0"
"nödvändiga","3.0"
"tioårsperiod","1.0"
"diplomati","1.0"
"swahili","4.0"
"utlandsfödda","1.0"
"producera","2.0"
"förslagen","1.0"
"glatt","1.0"
"skrivas","1.0"
"nyligen","6.0"
"skyldighet","1.0"
"skatteinkomsterna","1.0"
"250","1.0"
"bransch","3.0"
"statsministerns","2.0"
"synsättet","1.0"
"</em><em>bara","1.0"
"utvecklingen","5.0"
"förslaget","4.0"
"1915","1.0"
"gårdagens","1.0"
"situation","6.0"
"hösten","1.0"
"förtur","1.0"
"besvikelse","2.0"
"regerade","1.0"
"flyg","1.0"
"utredningen?","1.0"
"alliansperspektiv","1.0"
"reklammarknaden","2.0"
"särintresse","1.0"
"tillstå","3.0"
"folkgrupperna","1.0"
"dagligen","3.0"
"fn:s","2.0"
"godkännande","1.0"
"majoritetsbeslut","1.0"
"utrymme","2.0"
"syftet","2.0"
"fattat","1.0"
"lyder:","1.0"
"fattas","5.0"
"avvisat","1.0"
"kristna","3.0"
"här","165.0"
"andersson","4.0"
"fattar","1.0"
"ledningen","1.0"
"kunderna","1.0"
"uttryckt","2.0"
"diskussionen","6.0"
"lämnas","1.0"
"östersjön","1.0"
"lämnar","1.0"
"veterligen","1.0"
"tillfälle","1.0"
"lyckas","3.0"
"lämnat","1.0"
"sammantagna","1.0"
"matproduktion","1.0"
"detaljerna","1.0"
"typ","15.0"
"ungdomar","1.0"
"lyckat","1.0"
"nämns","3.0"
"avsluta","4.0"
"minska","7.0"
"slutar","3.0"
"symbolpolitikens","1.0"
"vägbitar","1.0"
"liv","5.0"
"pris","3.0"
"nämna","2.0"
"skoltrötthet","1.0"
"budget","4.0"
"påtryckande","1.0"
"två","22.0"
"regering","10.0"
"10 000","3.0"
"diplomatiska","1.0"
"tolkar","1.0"
"tolkat","1.0"
"tolkas","1.0"
"anbud","2.0"
"bistånd","4.0"
"ofta","8.0"
"fångstmöjligheten","1.0"
"fula","1.0"
"stenar","2.0"
"utkastskyldigheten","2.0"
"1948","1.0"
"pröva","1.0"
"till?","1.0"
"annorlunda","2.0"
"detsamma","1.0"
"full","2.0"
"undervisning","1.0"
"avvecklas","1.0"
"motivation","2.0"
"landsändan","1.0"
"bostadsproduktion","1.0"
"tills","1.0"
"kongolesiska","1.0"
"regeringskansliet","1.0"
"skriver","4.0"
"förverkligas","1.0"
"religiös","1.0"
"plånboken","1.0"
"avdraget","1.0"
"stark","3.0"
"1951","1.0"
"orkestrar","1.0"
"många","67.0"
"effekterna","3.0"
"erfarit","1.0"
"precis","14.0"
"tystnar","1.0"
"köpenhamn","3.0"
"sprakab.</em>","1.0"
"konventionen","2.0"
"folket","4.0"
"utspritt","1.0"
"tillämpas","1.0"
"skyndsam","1.0"
"återigen","4.0"
"rikaste","1.0"
"fallen","1.0"
"kvaliteten","3.0"
"pågående","2.0"
"oroande","1.0"
"befolkningen","3.0"
"fallet","12.0"
"anor","2.0"
"förlag","1.0"
"formell","1.0"
"faller","2.0"
"slutet","3.0"
"avslutade","1.0"
"planera","2.0"
"granska","2.0"
"detaljerat","1.0"
"pappas","1.0"
"fn-organet","1.0"
"kraftigt","3.0"
"studie","2.0"
"träffa","2.0"
"motarbeta","1.0"
"namngivna","4.0"
"ssv-projektet","1.0"
"annars","5.0"
"litar","1.0"
"mineraler","1.0"
"tydlighet","1.0"
"varav","1.0"
"liknande","3.0"
"myndighetens","2.0"
"kulturområdet","2.0"
"skyddsåtgärder","1.0"
"branschens","2.0"
"vinstdrivande","1.0"
"hjälptes","1.0"
"skolverksamheten","1.0"
"verksamhetsområde","1.0"
"hjälmered","2.0"
"glans","1.0"
"blygsam","1.0"
"övergrepp","1.0"
"införa","2.0"
"solar","1.0"
"trossamfund","1.0"
"korrekt","1.0"
"folkpartiet","1.0"
"principer","1.0"
"riksintresset","1.0"
"kossor","1.0"
"röstat","1.0"
"1997","3.0"
"principen","3.0"
"existerande","1.0"
"1995","1.0"
"ifrågasatt","1.0"
"1994","3.0"
"1991","1.0"
"klara","9.0"
"införs","2.0"
"röstar","1.0"
"vidhåller","1.0"
"plocka","1.0"
"diskussion","5.0"
"uppmuntrats","1.0"
"byggindustrin","1.0"
"uppgifter","3.0"
"rut-avdraget","3.0"
"klart","13.0"
"möjligheten","9.0"
"riktning","3.0"
"beroende","4.0"
"möjligheter","13.0"
"detaljerad","1.0"
"hjälper","2.0"
"stockholms","12.0"
"diabetes","1.0"
"myndigheten?","1.0"
"vänta","2.0"
"fordon","3.0"
"banan?","1.0"
"dag","38.0"
"personerna","2.0"
"ud?","1.0"
"uträknade","1.0"
"summa","2.0"
"uppvuxen","1.0"
"trygga","1.0"
"skolbarn","1.0"
"snarast","1.0"
"visserligen","2.0"
"natofrågan","1.0"
"ögon","5.0"
"migrationsfrågor","1.0"
"gradvis","1.0"
"valideringsarbete","1.0"
"återge","1.0"
"liten","4.0"
"snarare","3.0"
"island","1.0"
"minuter","3.0"
"inompalestinsk","1.0"
"överväga","1.0"
"närområdet","1.0"
"ronneby","1.0"
"personens","1.0"
"allmänhet","1.0"
"folkmord?","4.0"
"lövin","2.0"
"kubapolitiken","2.0"
"fiskad","1.0"
"underlätta","1.0"
"beröra","2.0"
"medgett","1.0"
"stjärnorna","1.0"
"franska","2.0"
"pågått","2.0"
"såsom","2.0"
"signaler","2.0"
"stickmyggor","1.0"
"rivieran","2.0"
"fiskat","3.0"
"signalen","1.0"
"vägslitageskatt","1.0"
"rösten","3.0"
"exempelvis","7.0"
"saker","13.0"
"bevakad","1.0"
"berörs","2.0"
"nationens","1.0"
"bild","1.0"
"påpekade","3.0"
"de:","1.0"
"bevakat","1.0"
"språk</em><em></em><em>analyser","1.0"
"mikael","3.0"
"ambitionsnivåerna","1.0"
"tysta","1.0"
"handelsmöjligheter","2.0"
"företagstransporter","1.0"
"skydd","1.0"
"ansträngt","1.0"
"komplexa","1.0"
"suttit","2.0"
"tiden","6.0"
"förändrade","1.0"
"operationer","3.0"
"tider","2.0"
"vidare","16.0"
"syftar","2.0"
"utbildningssidan","1.0"
"huvuduppgift","1.0"
"omfattning","2.0"
"närmsta","1.0"
"organisationerna","2.0"
"närområde?","1.0"
"förkovran","2.0"
"enhetlig","1.0"
"reformering","2.0"
"pendlar","1.0"
"huvudansvaret","1.0"
"förebygga","1.0"
"allan","5.0"
"del","21.0"
"poängterat","1.0"
"statsceremoniella","1.0"
"den","338.0"
"dem","34.0"
"långvariga","1.0"
"består","2.0"
"det","1256.0"
"hyckleriet","1.0"
"välkomnats","1.0"
"fastigheter","2.0"
"intervju","2.0"
"landningsskyldigheten","3.0"
"frågade:","1.0"
"ovilja","1.0"
"säkerställa","2.0"
"öckerö","3.0"
"inför","3.0"
"styrkor","1.0"
"ansatsen","1.0"
"myggfälla","3.0"
"samöva","1.0"
"välkommet","1.0"
"kriser","2.0"
"sektorn","16.0"
"förlust","1.0"
"välkommen","1.0"
"hindren","1.0"
"specialundervisningen","1.0"
"bullerhanteringen","2.0"
"innehåll?","1.0"
"delarna","2.0"
"denis","1.0"
"larsen","2.0"
"nödvändig","2.0"
"hotet","1.0"
"biståndsaktör","1.0"
"tvist","1.0"
"kollega","3.0"
"sjuka","1.0"
"punkt","1.0"
"tidigare","24.0"
"drämmer","1.0"
"oppositionen","1.0"
"samarbetsavtal","2.0"
"hoten","2.0"
"digitaliseringen","2.0"
"påpekade:","1.0"
"konkurrensutsatta","1.0"
"fastigheterna","1.0"
"sexualiserat","1.0"
"säkrare?","1.0"
"säger","54.0"
"korta","1.0"
"bra;","1.0"
"rättskipning","1.0"
"känna","7.0"
"frånvarande","1.0"
"ökningarna","1.0"
"etnisk","1.0"
"kommentera","1.0"
"omsättningen","2.0"
"tanken","4.0"
"utgjorde","1.0"
"bygger","4.0"
"högutbildade","1.0"
"bygget","7.0"
"transporter","4.0"
"importerar","1.0"
"känns","4.0"
"afghanistan","1.0"
"angående","1.0"
"åsikter","1.0"
"under","55.0"
"beslutsunderlaget","1.0"
"mina","6.0"
"osäkra","2.0"
"citerades","1.0"
"enbart","6.0"
"något","31.0"
"dig","1.0"
"konkurrenslagen","2.0"
"specifikt","2.0"
"förhållningssätt","4.0"
"mellan","24.0"
"vänner","1.0"
"tidningsintervju","1.0"
"din","2.0"
"träder","1.0"
"hedras","1.0"
"glider","1.0"
"inga","4.0"
"dit","6.0"
"terrorister","1.0"
"företagande","1.0"
"säga:","1.0"
"vägrar","2.0"
"uppvaktat","1.0"
"enats","1.0"
"någon","35.0"
"hög","6.0"
"signal","4.0"
"höj","2.0"
"undersöka","1.0"
"krafter","2.0"
"styrkta","1.0"
"utredning","14.0"
"hör","8.0"
"tänker","21.0"
"elimineras","1.0"
"upphandlat","1.0"
"förändring","2.0"
"nyttjar","1.0"
"skam","1.0"
"därför:","4.0"
"innebär","11.0"
"anhängare","1.0"
"munnen","1.0"
"gmo-produktioner","1.0"
"sitter","10.0"
"känts","1.0"
"arbetsplatser","2.0"
"hindrar","1.0"
"överföra","1.0"
"bred","2.0"
"arresteringarna","1.0"
"gjorde","10.0"
"uppmaningar","1.0"
"700 000","1.0"
"hjälp","6.0"
"menade","4.0"
"wetlands","1.0"
"berodde","1.0"
"hotar","1.0"
"skattehöjningarna","4.0"
"utvecklingshämmande","1.0"
"alla?","1.0"
"uppmuntrar","1.0"
"biståndet","5.0"
"dåligt","2.0"
"kontrollen","1.0"
"fackförbundens","1.0"
"hotad","1.0"
"respektera","1.0"
"övertygad","5.0"
"stimulera","1.0"
"ystad","12.0"
"stationsmiljö","1.0"
"doktor","8.0"
"rektorer","1.0"
"lönsamheten","1.0"
"flyttrål","1.0"
"fasades","1.0"
"dåliga","1.0"
"eriksson","1.0"
"frågor","14.0"
"hjälpas","1.0"
"rättssäkra","1.0"
"grann","2.0"
"majoritet","4.0"
"törs","1.0"
"undan","2.0"
"antalet","12.0"
"församlingarna","1.0"
"speciell","3.0"
"orten","2.0"
"upplästa","1.0"
"tillsatte","1.0"
"orter","1.0"
"division","1.0"
"näring","2.0"
"landningsskyldighet","2.0"
"namnunderskrifter","1.0"
"granskning</em>","2.0"
"erbjuder","2.0"
"sydöstra","3.0"
"finska","1.0"
"interpellationsdebatt","3.0"
"alliansregeringen","8.0"
"långsiktigt","9.0"
"näringsministern","7.0"
"anonym","1.0"
"mordförsök","1.0"
"mitt","10.0"
"beslutade","1.0"
"färger","1.0"
"sker","1.0"
"livsmedelsstrategi","1.0"
"ansats","1.0"
"upp","52.0"
"berättade","2.0"
"fullbordat","1.0"
"johan","2.0"
"givande","1.0"
"mitten","2.0"
"patrik","1.0"
"själv","25.0"
"dom","1.0"
"räknade","1.0"
"brott","2.0"
"rapporterats","1.0"
"måleri","1.0"
"myggbekämpningen","1.0"
"några","26.0"
"2015?","1.0"
"sorterades","1.0"
"kodnamn","2.0"
"<em>svt:s","1.0"
"klinik","2.0"
"långsiktiga","3.0"
"maj","1.0"
"dörrarna","1.0"
"man","293.0"
"etablerar","1.0"
"etablerat","3.0"
"poäng","3.0"
"erkänt","2.0"
"starkaste","1.0"
"klar","2.0"
"mat","4.0"
"uttalat","1.0"
"motsatt","1.0"
"uttalar","3.0"
"månaden","3.0"
"månader","4.0"
"singapore","1.0"
"ingå","1.0"
"främja","2.0"
"musikerna","1.0"
"uppehålla","1.0"
"brottslingar","1.0"
"konkurrerar","1.0"
"mjölkproduktionen","1.0"
"repetitionsövningar?","1.0"
"ut;","1.0"
"konkurrerat","1.0"
"ut?","1.0"
"usa","4.0"
"räkning","1.0"
"strid","2.0"
"statsråd","3.0"
"gynna","1.0"
"mening","6.0"
"månad","5.0"
"yrkeshögskolan","2.0"
"dra","4.0"
"pendlare","1.0"
"sam</em><em></em><em>arbete","1.0"
"omsättning","2.0"
"vända","1.0"
"influera","1.0"
"presskonferensen","1.0"
"gällande","1.0"
"inkomst","2.0"
"likvärdig","1.0"
"lista","2.0"
"arlanda","5.0"
"citerar","1.0"
"40 000","2.0"
"generaldirektör","1.0"
"ute","6.0"
"mekaniskt","1.0"
"inne","7.0"
"hämtas","1.0"
"styret","1.0"
"trappa","1.0"
"dialekt","1.0"
"frågeställningar","1.0"
"uppnås","1.0"
"uppnår","1.0"
"från","114.0"
"bajuni","3.0"
"tidskriften","1.0"
"med","321.0"
"makt","2.0"
"eller","84.0"
"låter","6.0"
"fanns","10.0"
"335","1.0"
"språkanalysföretag","1.0"
"men","174.0"
"titta","16.0"
"paradox","1.0"
"mer","33.0"
"född","1.0"
"nivåer","1.0"
"kölvattnet","1.0"
"investeringar","4.0"
"regeringsbeslut","1.0"
"socialförsäkringsutskottet","1.0"
"tankar","2.0"
"statligt","6.0"
"är:","15.0"
"uppskattar","2.0"
"tackar","22.0"
"inom","25.0"
"skickats","1.0"
"anspråk","2.0"
"förbifart","6.0"
"huvudstadsnära","2.0"
"omanalys","1.0"
"forskningen","5.0"
"förslag:","1.0"
"princip","9.0"
"statliga","18.0"
"dialogen","6.0"
"fackliga","1.0"
"skon","1.0"
"skog","1.0"
"inse","1.0"
"manifesteras","2.0"
"länsdelarna","1.0"
"tillsätter","1.0"
"knappast","3.0"
"ambassadör","3.0"
"betydligt","2.0"
"djupaste","2.0"
"medicinska","2.0"
"omkring","1.0"
"språk","2.0"
"man:","1.0"
"understödjas","1.0"
"allra","5.0"
"symbolutspel","1.0"
"teoretiska","1.0"
"utbyte","2.0"
"bestämd","1.0"
"talman","129.0"
"600 000","1.0"
"pendling","1.0"
"13","3.0"
"kvaliteten.</em>","1.0"
"14","2.0"
"15","2.0"
"16","4.0"
"17","1.0"
"föreningarna","1.0"
"18","1.0"
"klarläggande","1.0"
"sacharovpris","1.0"
"företrädare","3.0"
"</em>hävdar","1.0"
"grundläggande","2.0"
"miljö","3.0"
"stöder","2.0"
"fånga","1.0"
"flood","1.0"
"stödet","5.0"
"etableringsfasen","1.0"
"utropa","1.0"
"landade","1.0"
"förhandlare","1.0"
"ideologiskt","2.0"
"resonemang","2.0"
"riksdagspolitiker","1.0"
"göra?","4.0"
"kärnkraftverk","1.0"
"20","5.0"
"byggandet","4.0"
"21","1.0"
"22","1.0"
"2,50","1.0"
"25","7.0"
"grundskolan","1.0"
"göras","5.0"
"främst","1.0"
"mig","42.0"
"skola","1.0"
"göran","3.0"
"studenter","2.0"
"flerhundraåriga","1.0"
"mil","2.0"
"perfekta","1.0"
"förmånliga","2.0"
"utsatt","2.0"
"min","67.0"
"övertrumfar","1.0"
"styleref","18.0"
"sveken","1.0"
"industri","1.0"
"används","10.0"
"talmannen","1.0"
"30","2.0"
"mix","2.0"
"efter","24.0"
"samexistens","2.0"
"västra","3.0"
"utmaning","1.0"
"ledare","3.0"
"34","1.0"
"stat","8.0"
"inta","1.0"
"partiledare","3.0"
"kompensera","3.0"
"38","1.0"
"inte","378.0"
"vetenskaplighet","2.0"
"förnyelsearbete","1.0"
"språkkunskaper","1.0"
"ojämlikheter","1.0"
"maskineriet","1.0"
"stad","6.0"
"skolplikten","2.0"
"ingår","2.0"
"relationer","2.0"
"papperet","1.0"
"reglerna","6.0"
"relationen","3.0"
"inrikesflygplats","1.0"
"kläcks","1.0"
"rättssäker","2.0"
"drivande","1.0"
"40","3.0"
"försvarsmusiken","1.0"
"följande","1.0"
"bara","45.0"
"talar","14.0"
"talas","3.0"
"talat","4.0"
"48","1.0"
"förhandlingsmandat","1.0"
"verksamma","1.0"
"kvinnor","16.0"
"helhet","1.0"
"slags","6.0"
"uppdatering","1.0"
"engagemanget","1.0"
"barn","8.0"
"gemensam","1.0"
"50","4.0"
"påstå","2.0"
"dörren","2.0"
"heltidsanställda","1.0"
"anläggningsboenden","1.0"
"försvåra","2.0"
"förlängts","1.0"
"använda","6.0"
"pågår","10.0"
"längre","4.0"
"</em>uppdrag","1.0"
"drivas","1.0"
"medborgare","11.0"
"kände","1.0"
"63","1.0"
"seminarium","1.0"
"jätteproblem","1.0"
"kontrollera","5.0"
"kända","2.0"
"nioårig","1.0"
"65","1.0"
"republiken","1.0"
"skattebefriat","1.0"
"integritet","1.0"
"bekymmer","1.0"
"hittills","1.0"
"finansminister","2.0"
"gjorts","1.0"
"olika","57.0"
"meddelade","1.0"
"klok","2.0"
"ledande","4.0"
"nära","1.0"
"intresse","3.0"
"studentlägenheter","1.0"
"skattebefriad","1.0"
"förut:","2.0"
"stödja","4.0"
"70","1.0"
"musikkår","4.0"
"integrationen","1.0"
"gehör","1.0"
"pojkar","3.0"
"finns","116.0"
"75","1.0"
"demersalt","1.0"
"bilresenär","1.0"
"maru","2.0"
"mars","2.0"
"tilläggas","1.0"
"posterna","1.0"
"dörrar","1.0"
"länsmuseer","1.0"
"tillföras","1.0"
"agera","6.0"
"judisk","1.0"
"rysk","1.0"
"kammare","1.0"
"riktiga","2.0"
"fortfarande","13.0"
"steg","3.0"
"historien","2.0"
"80","2.0"
"beredskapskontrollerna","1.0"
"riktigt","15.0"
"sten","1.0"
"jobbskapande","1.0"
"mark","4.0"
"tillståndet","1.0"
"sällan","2.0"
"kostnaden","4.0"
"rekord","1.0"
"mod","1.0"
"trend","1.0"
"granskar","1.0"
"fortgå","2.0"
"förebyggande","1.0"
"tufft","2.0"
"rut-avdrag","1.0"
"kostnader","4.0"
"byggas?","1.0"
"kulturpolitiska","1.0"
"tiotusentals","2.0"
"bråttom","4.0"
"relation","2.0"
"mot","41.0"
"rättssäkerhet","1.0"
"vad","105.0"
"tuffa","1.0"
"skolledarna","1.0"
"kuba","13.0"
"95","1.0"
"domstolsutslag","1.0"
"verksamhet","6.0"
"näst","1.0"
"van","1.0"
"var","113.0"
"beror","5.0"
"misstänka","1.0"
"skriva","2.0"
"tänkas","1.0"
"denna","37.0"
"staten","28.0"
"finna","1.0"
"företaget","2.0"
"företagen","4.0"
"farfar","1.0"
"uppmätt","1.0"
"eu-nämnden","1.0"
"djupt","2.0"
"jugoslavien","1.0"
"skyr","1.0"
"möjligheterna","1.0"
"bryr","1.0"
"gummiboll","1.0"
"förstärkta","1.0"
"följande:","2.0"
"bullerkraven","1.0"
"föra","1.0"
"2,60-2,70","1.0"
"granskning<em>","1.0"
"tonläge","3.0"
"lägsta","1.0"
"upsala","1.0"
"3 000","1.0"
"kommunpolitiker","1.0"
"europa","3.0"
"högstadietiden","1.0"
"föreställningar","2.0"
"önskade","1.0"
"ingenting","4.0"
"föregångsland","1.0"
"opinion","1.0"
"aldrig","2.0"
"terrororganisation","1.0"
"folkmordet","4.0"
"självförsörjningsgraden","1.0"
"lyssnas","1.0"
"lyssnar","2.0"
"dagstidning","1.0"
"bilpendlarnas","1.0"
"sakerna","1.0"
"chula","1.0"
"plötsligt","3.0"
"närmast","4.0"
"existera","3.0"
"ettor","1.0"
"henne?","1.0"
"påpekades","2.0"
"essingeleden","4.0"
"dubbelstöt","2.0"
"flerårig","1.0"
"skönmålning","1.0"
"vem","6.0"
"fördömt","1.0"
"förs","2.0"
"vet","38.0"
"fullständig","1.0"
"folkrörelser","1.0"
"anledning","9.0"
"<em>ett</em>","1.0"
"materiell","1.0"
"före","8.0"
"minskade","1.0"
"närmare","1.0"
"s-minister","1.0"
"uran","1.0"
"avslöja","3.0"
"stod","2.0"
"språktesterna?","1.0"
"avsevärt","1.0"
"alliansens","6.0"
"fått","26.0"
"bästa","6.0"
"demokrati","9.0"
"hennes","1.0"
"företeelser","1.0"
