"party","SD"
"försvarsförmågan","1.0"
"trängselskatten","1.0"
"importerat","1.0"
"skyddsformerna","1.0"
"vargreviren","1.0"
"juni","1.0"
"700","1.0"
"transporter","1.0"
"under","25.0"
"mina","3.0"
"trängselskatter","2.0"
"fördubblas","1.0"
"enbart","4.0"
"sammanfattar","1.0"
"effektmässigt","1.0"
"något","15.0"
"snittet","1.0"
"snedfördelning","1.0"
"borgerliga","1.0"
"bolagets","1.0"
"mellan","9.0"
"vattendraget","1.0"
"träder","1.0"
"myndigheter","7.0"
"frustrerade","1.0"
"inga","3.0"
"myndigheten","2.0"
"utrikesutskottet","1.0"
"företagande","1.0"
"tala","1.0"
"helhetsperspektiv","1.0"
"beviljade","1.0"
"någon","22.0"
"hög","2.0"
"specifika","2.0"
"konventionellt","1.0"
"angrepp","1.0"
"rådets","1.0"
"helhetssynen","1.0"
"hör","5.0"
"yta","1.0"
"tänker","4.0"
"förut?</em>","1.0"
"passar","1.0"
"både","3.0"
"lösning","1.0"
"gemensamt","1.0"
"båda","2.0"
"nyttjar","1.0"
"verksamhetens","1.0"
"innebär","4.0"
"besökte","1.0"
"förvisso","1.0"
"sitter","1.0"
"vattenkraft","1.0"
"51 miljoner","1.0"
"livskraftigt","1.0"
"tjänstemannastyre","1.0"
"äga","1.0"
"vattenforskarna","1.0"
"bred","1.0"
"påstått","1.0"
"odlingsmarkerna","1.0"
"asylskäl","1.0"
"friluftslivets","2.0"
"2011","1.0"
"2010","1.0"
"gjorde","2.0"
"hjälp","3.0"
"underligt","1.0"
"förbittrade","1.0"
"2009","1.0"
"2008","2.0"
"infrastrukturen","3.0"
"skickas","1.0"
"2006","1.0"
"luddigt","1.0"
"helheten","1.0"
"tror","13.0"
"inrikesflyg","1.0"
"biståndet","1.0"
"dåligt","3.0"
"bland","13.0"
"intäkterna","1.0"
"737","1.0"
"human","1.0"
"just","11.0"
"kontroller","1.0"
"energikommissionen","2.0"
"sviker","2.0"
"legat","1.0"
"inser","1.0"
"redogörs","1.0"
"avhjälpas","1.0"
"släppte","1.0"
"platserna","1.0"
"översyn","1.0"
"dlo","3.0"
"förbättringsarbetet","1.0"
"tillbaka","9.0"
"toppolitiker","1.0"
"annonserade","1.0"
"frågor","10.0"
"ja-beslut","1.0"
"experter","1.0"
"syriens","1.0"
"areal","1.0"
"2016","2.0"
"material","1.0"
"2015","2.0"
"rättssäkra","1.0"
"2014","1.0"
"grann","2.0"
"rikta","1.0"
"aktuell","1.0"
"majoritet","1.0"
"blankt","1.0"
"avdragssystem","1.0"
"undan","2.0"
"subventionerna","1.0"
"antalet","1.0"
"hur","38.0"
"ambitionen?","1.0"
"bosätta","2.0"
"speciell","1.0"
"nyprövningar","2.0"
"utnyttjats","1.0"
"interpellationssvaret","3.0"
"förståelse","2.0"
"riktade","1.0"
"omfattar","1.0"
"nyckelfrågor","1.0"
"näring","1.0"
"beslutsordning","1.0"
"<em>har","1.0"
"finska","2.0"
"individens","1.0"
"skaraborg","2.0"
"tiderna","1.0"
"står:","1.0"
"infrastrukturinvesteringar","1.0"
"alliansregeringen","5.0"
"kommunikationerna","1.0"
"redovisa","1.0"
"brev","1.0"
"mitt","1.0"
"livsmedelsstrategi","4.0"
"vänsterpartiet","1.0"
"uppenbar","1.0"
"implementeringen","1.0"
"upp","15.0"
"berättade","1.0"
"johan","2.0"
"jordbruksverket","14.0"
"uppenbarligen","2.0"
"gärna","3.0"
"remitterats","1.0"
"klipp","1.0"
"själv","6.0"
"status","1.0"
"viktiga","3.0"
"miljökraven","1.0"
"hundratals","1.0"
"natur","1.0"
"rapporterats","1.0"
"några","12.0"
"backaområdet","2.0"
"tamdjur","1.0"
"flesta","2.0"
"2050","1.0"
"bönder?","1.0"
"utrymmena","1.0"
"unionen","1.0"
"mål","1.0"
"maj","1.0"
"följd","3.0"
"förväg","1.0"
"man","143.0"
"anslagsram","1.0"
"viktigt","10.0"
"älg","3.0"
"följa","4.0"
"miniminivåer","1.0"
"värna","2.0"
"mat","1.0"
"avvägningar","2.0"
"positiva","1.0"
"2016?","2.0"
"följs","2.0"
"månader","1.0"
"ingå","2.0"
"främja","1.0"
"300","4.0"
"undersökning","3.0"
"kultur-","1.0"
"urholkningen","1.0"
"sopa","2.0"
"mjölkproduktionen","1.0"
"belopp","1.0"
"stjäl","1.0"
"statsapparaten","1.0"
"uppfattat","2.0"
"allvaret","2.0"
"uppfattar","1.0"
"åhörare","1.0"
"äganderätten","1.0"
"etablissemanget","1.0"
"energipolitiska","1.0"
"georgien","2.0"
"småföretag","1.0"
"branschen","2.0"
"analysarbetet","1.0"
"dra","2.0"
"nyprövningen","2.0"
"död","3.0"
"vända","1.0"
"avkrävas","1.0"
"kammaren","2.0"
"internationell","3.0"
"fina","1.0"
"fattade","1.0"
"vilka","4.0"
"vilja","2.0"
"regelverket","2.0"
"skilja","1.0"
"rättssystem","1.0"
"vågskålen","1.0"
"utsträckning","3.0"
"generaldirektör","1.0"
"ute","5.0"
"film","1.0"
"inne","1.0"
"hämtas","1.0"
"intensivt","2.0"
"deras","7.0"
"samband","1.0"
"konkurrenskraften","2.0"
"position","1.0"
"definitivt","1.0"
"frågeställningar","1.0"
"gröna","3.0"
"konstatera","1.0"
"från","51.0"
"sådana","1.0"
"försvarspolitiker","1.0"
"jordbruksproduktionen","1.0"
"fram","15.0"
"utformat","1.0"
"med","137.0"
"flyktingmottagande","1.0"
"eller","41.0"
"vägslitageavgift","1.0"
"sådant","5.0"
"låter","2.0"
"fanns","8.0"
"värja","2.0"
"kärnverksamheten","1.0"
"stånd","2.0"
"men","75.0"
"titta","4.0"
"hasardspel","1.0"
"mer","20.0"
"stampar","1.0"
"beta","1.0"
"djurskydd","1.0"
"nivåer","2.0"
"prestationer","1.0"
"investeringar","4.0"
"processen","2.0"
"skedde","1.0"
"är:","2.0"
"styrda","1.0"
"jätteviktigt;","1.0"
"fundera","1.0"
"minnet","2.0"
"tackar","8.0"
"vattendirektivet","5.0"
"inom","9.0"
"strandskydd","2.0"
"förbifart","2.0"
"brukarna","1.0"
"förslag?","1.0"
"utnyttjades","2.0"
"sammelsurium","1.0"
"wagers","1.0"
"uttala","1.0"
"jordanien","3.0"
"miljöpartiets","1.0"
"storstadsregionerna","1.0"
"stäv","1.0"
"inse","1.0"
"globalt","1.0"
"liksom","4.0"
"anslagen","3.0"
"avsättas","1.0"
"medeltiden","1.0"
"reseavdrag","1.0"
"knappast","6.0"
"frågan?","1.0"
"skeptisk","1.0"
"betydligt","3.0"
"växtföljder","1.0"
"ära","1.0"
"sökande","4.0"
"omkring","2.0"
"inlägg","2.0"
"milersättning","1.0"
"mycket","17.0"
"allra","5.0"
"stick","1.0"
"energikommissionens","3.0"
"natten","2.0"
"teoretiska","1.0"
"bestämd","1.0"
"kapitalförsörjning","1.0"
"10","1.0"
"upplevs","1.0"
"talman","47.0"
"beskriva","1.0"
"miljöersättning","1.0"
"15","3.0"
"slutändan","1.0"
"landsbygden","15.0"
"1:","1.0"
"globala","1.0"
"stöden","2.0"
"företrädare","2.0"
"överklaga","3.0"
"miljö","3.0"
"behandla","1.0"
"regeringsförklaringen","1.0"
"beakta","1.0"
"stödet","1.0"
"bestämt","1.0"
"osthyvel","1.0"
"resonemang","3.0"
"göra?","1.0"
"återinförd","1.0"
"mängd","2.0"
"komplettera","1.0"
"utökas","1.0"
"göteborgsområdet","1.0"
"20","5.0"
"utökar","1.0"
"länsstyrelsens","3.0"
"sammanfattningen","2.0"
"25","3.0"
"samhällsnytta","1.0"
"främst","5.0"
"2:","1.0"
"göras","3.0"
"mig","15.0"
"global","1.0"
"allvar","3.0"
"danielssons","1.0"
"gamla","3.0"
"mil","1.0"
"biståndsbudgeten","6.0"
"min","18.0"
"söker","1.0"
"styleref","10.0"
"ställa","5.0"
"rättssäkerhetsprincip","1.0"
"samhällsintressen","1.0"
"industri","1.0"
"skogsbruk","1.0"
"verklighetsfrånvända","1.0"
"30","2.0"
"ansvarslöshet","1.0"
"31","1.0"
"efter","2.0"
"västra","5.0"
"flaggat","2.0"
"godtycklig","1.0"
"möta","1.0"
"myndigheterna","3.0"
"strategier","1.0"
"landsbygdspolitik","2.0"
"medlemsland","1.0"
"inte","171.0"
"flyktingpolitik","1.0"
"3:","1.0"
"informationsinsatser","1.0"
"sticket","1.0"
"380","1.0"
"talk'","2.0"
"trovärdigt","1.0"
"drygt","2.0"
"vargrevir","2.0"
"allemansrätten","2.0"
"ambitioner","1.0"
"tjänstemän","2.0"
"griskris","1.0"
"mjölkkor","3.0"
"ställt","1.0"
"står","4.0"
"reglerna","5.0"
"stam","1.0"
"tampas","1.0"
"felaktigheter","3.0"
"överlåtit","1.0"
"följande","1.0"
"bara","17.0"
"talar","14.0"
"talas","1.0"
"uppfylla","2.0"
"regelbundet","3.0"
"internrapport","1.0"
"bjuder","1.0"
"snabba","3.0"
"ägnat","1.0"
"svealand","2.0"
"intentionen","1.0"
"skuggbudget","1.0"
"intentioner","1.0"
"acceptera","1.0"
"säkerhetspolitiskt","1.0"
"lägger","4.0"
"försvarsplanering","1.0"
"slags","2.0"
"barn","1.0"
"tydliga","8.0"
"fortsätta","3.0"
"gårdsstöd","1.0"
"positivt","2.0"
"sysselsättningen","1.0"
"strandskydd?","2.0"
"dörren","1.0"
"effektiviteten","2.0"
"berör","2.0"
"betalar","1.0"
"miggorna","1.0"
"innehåller","1.0"
"försvarspolitik","1.0"
"högre","5.0"
"tydligt","2.0"
"problematiskt","2.0"
"använda","1.0"
"pågår","2.0"
"mått","2.0"
"remisskritik","1.0"
"lantbrukarna?","1.0"
"trängselskattens","1.0"
"längre","2.0"
"välstånd","2.0"
"uppfyllt","1.0"
"näringsverksamhet","1.0"
"föreslog","2.0"
"60","1.0"
"medborgare","1.0"
"överträdelser","1.0"
"jätteproblem","1.0"
"överträdelsen","1.0"
"åtminstone","3.0"
"överkoncentration","1.0"
"bottensediment?","1.0"
"s. 5","1.0"
"hittills","1.0"
"42 000","1.0"
"gjorts","1.0"
"ligger","9.0"
"landsbygdsbefolkning","1.0"
"olika","17.0"
"signalpolitik","1.0"
"näringarna","1.0"
"nära","2.0"
"beskrivs","1.0"
"geografi","1.0"
"intresse","1.0"
"70","2.0"
"finns","68.0"
"livsmedelsförsörjning?","1.0"
"däribland","1.0"
"eu-förordningar","1.0"
"asyl","1.0"
"anklaga","1.0"
"rysk","2.0"
"kammare","2.0"
"växtföljd","2.0"
"8)","1.0"
"gjort","9.0"
"fortfarande","7.0"
"steg","1.0"
"80","2.0"
"eftersom","8.0"
"väg","1.0"
"representanterna","1.0"
"landsbygdsdepartementet","1.0"
"aktörerna","1.0"
"riktigt","5.0"
"dryftat","1.0"
